cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19]
2004-06-01 00:05:00,292.976,291.693,291.050,289.615,0.000,287.334,99731.472,288.768,100089.662,
2004-06-01 00:10:00,292.916,291.632,290.923,288.704,0.000,287.334,99729.111,288.257,100089.923,
2004-06-01 00:15:00,292.879,291.605,291.032,288.908,0.000,287.334,99726.750,288.332,100089.878,
2004-06-01 00:20:00,292.867,291.603,291.165,289.242,0.000,287.334,99724.389,288.470,100089.788,
2004-06-01 00:25:00,292.824,291.569,291.052,289.249,0.000,287.334,99722.028,288.504,100089.750,
2004-06-01 00:30:00,292.785,291.539,290.941,289.280,0.000,287.334,99719.667,288.537,100089.706,
2004-06-01 00:35:00,292.732,291.494,290.807,289.199,0.000,287.333,99717.306,288.528,100089.685,
2004-06-01 00:40:00,292.706,291.476,290.697,289.257,0.000,287.333,99714.944,288.569,100089.632,
2004-06-01 00:45:00,292.666,291.444,290.594,289.222,0.000,287.333,99712.583,288.587,100089.589,
2004-06-01 00:50:00,292.649,291.434,290.509,289.312,0.000,287.333,99710.222,288.651,100089.514,
2004-06-01 00:55:00,292.617,291.409,290.407,289.298,0.000,287.333,99707.861,288.689,100089.448,
2004-06-01 01:00:00,292.611,291.410,290.346,289.407,0.000,287.333,99705.500,288.773,100089.347,
2004-06-01 01:05:00,292.576,291.382,290.268,289.331,0.000,287.342,99703.931,288.730,100089.411,
2004-06-01 01:10:00,292.552,291.366,290.198,289.315,0.000,287.351,99702.361,288.679,100089.483,
2004-06-01 01:15:00,292.504,291.325,290.108,289.164,0.000,287.360,99700.792,288.585,100089.574,
2004-06-01 01:20:00,292.479,291.307,290.038,289.145,0.000,287.369,99699.222,288.537,100089.638,
2004-06-01 01:25:00,292.437,291.273,289.960,289.032,0.000,287.378,99697.653,288.465,100089.713,
2004-06-01 01:30:00,292.416,291.258,289.898,289.038,0.000,287.387,99696.083,288.433,100089.765,
2004-06-01 01:35:00,292.376,291.225,289.822,288.933,0.000,287.396,99694.514,288.369,100089.831,
2004-06-01 01:40:00,292.356,291.212,289.759,288.943,0.000,287.405,99692.944,288.341,100089.877,
2004-06-01 01:45:00,292.318,291.181,289.689,288.841,0.000,287.414,99691.375,288.281,100089.938,
2004-06-01 01:50:00,292.300,291.168,289.632,288.855,0.000,287.423,99689.806,288.258,100089.978,
2004-06-01 01:55:00,292.265,291.139,289.562,288.758,0.000,287.432,99688.236,288.203,100090.032,
2004-06-01 02:00:00,292.250,291.131,289.526,288.778,0.000,287.441,99686.667,288.184,100090.067,
2004-06-01 02:05:00,292.221,291.110,289.488,288.707,0.000,287.444,99685.875,288.160,100090.075,
2004-06-01 02:10:00,292.214,291.109,289.464,288.766,0.000,287.446,99685.083,288.182,100090.060,
2004-06-01 02:15:00,292.191,291.093,289.428,288.713,0.000,287.448,99684.292,288.171,100090.061,
2004-06-01 02:20:00,292.187,291.095,289.404,288.772,0.000,287.450,99683.500,288.192,100090.047,
2004-06-01 02:25:00,292.164,291.080,289.382,288.711,0.000,287.453,99682.708,288.177,100090.050,
2004-06-01 02:30:00,292.162,291.083,289.373,288.766,0.000,287.455,99681.917,288.195,100090.038,
2004-06-01 02:35:00,292.141,291.070,289.350,288.704,0.000,287.457,99681.125,288.180,100090.042,
2004-06-01 02:40:00,292.140,291.075,289.341,288.760,0.000,287.460,99680.333,288.198,100090.030,
2004-06-01 02:45:00,292.122,291.063,289.331,288.700,0.000,287.462,99679.542,288.183,100090.034,
2004-06-01 02:50:00,292.123,291.070,289.333,288.755,0.000,287.464,99678.750,288.202,100090.022,
2004-06-01 02:55:00,292.105,291.060,289.322,288.696,0.000,287.466,99677.958,288.187,100090.025,
2004-06-01 03:00:00,292.099,291.059,289.300,288.751,0.000,287.469,99677.167,288.205,100090.013,
2004-06-01 03:05:00,292.076,291.043,289.275,288.707,0.000,287.468,99678.042,288.208,100089.989,
2004-06-01 03:10:00,292.074,291.046,289.263,288.787,0.000,287.467,99678.917,288.253,100089.944,
2004-06-01 03:15:00,292.054,291.032,289.238,288.757,0.000,287.466,99679.792,288.267,100089.913,
2004-06-01 03:20:00,292.052,291.035,289.227,288.839,0.000,287.465,99680.667,288.313,100089.866,
2004-06-01 03:25:00,292.032,291.021,289.202,288.806,0.000,287.464,99681.542,288.326,100089.835,
2004-06-01 03:30:00,292.031,291.024,289.189,288.885,0.000,287.463,99682.417,288.371,100089.788,
2004-06-01 03:35:00,292.011,291.010,289.164,288.854,0.000,287.462,99683.292,288.386,100089.755,
2004-06-01 03:40:00,292.010,291.014,289.152,288.933,0.000,287.462,99684.167,288.432,100089.707,
2004-06-01 03:45:00,291.992,291.001,289.128,288.905,0.000,287.461,99685.042,288.447,100089.673,
2004-06-01 03:50:00,291.991,291.005,289.117,288.984,0.000,287.460,99685.917,288.494,100089.624,
2004-06-01 03:55:00,291.974,290.993,289.093,288.958,0.000,287.459,99686.792,288.512,100089.588,
2004-06-01 04:00:00,291.969,290.991,289.067,289.037,0.000,287.458,99687.667,288.559,100089.537,
2004-06-01 04:05:00,291.936,290.964,289.022,288.951,0.000,287.467,99687.667,288.499,100089.624,
2004-06-01 04:10:00,291.913,290.947,288.983,288.925,0.000,287.476,99687.667,288.437,100089.709,
2004-06-01 04:15:00,291.868,290.909,288.932,288.793,0.000,287.486,99687.667,288.351,100089.796,
2004-06-01 04:20:00,291.844,290.889,288.895,288.783,0.000,287.495,99687.667,288.310,100089.852,
