cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],,,,senWaste_NoCooling,TempProf_cur[19]No_Cooling
6/1/2004 0:05,293.226,291.951,291.292,290.704,0,287.334,99731.472,288.68,100089.7,,,,0,293.272
6/1/2004 0:10,293.14,291.862,291.136,289.635,0,287.334,99729.111,288.271,100089.919,,,,0,288.68
6/1/2004 0:15,293.173,291.905,291.3,290.087,0,287.334,99726.75,288.337,100089.879,,,,0,288.271
6/1/2004 0:20,293.208,291.95,291.465,290.558,0,287.334,99724.389,288.421,100089.815,,,,0,288.337
6/1/2004 0:25,293.18,291.929,291.362,290.539,0,287.334,99722.028,288.447,100089.782,,,,0,288.421
6/1/2004 0:30,293.168,291.924,291.272,290.598,0,287.334,99719.667,288.474,100089.741,,,,0,288.447
6/1/2004 0:35,293.126,291.89,291.153,290.505,0,287.333,99717.306,288.488,100089.709,,,,0,288.474
6/1/2004 0:40,293.114,291.884,291.058,290.558,0,287.333,99714.944,288.526,100089.657,,,,0,288.488
6/1/2004 0:45,293.084,291.86,290.962,290.521,0,287.333,99712.583,288.561,100089.605,,,,0,288.526
6/1/2004 0:50,293.075,291.856,290.882,290.596,0,287.333,99710.222,288.617,100089.534,,,,0,288.561
6/1/2004 0:55,293.051,291.837,290.787,290.587,0,287.333,99707.861,288.671,100089.46,,,,0,288.617
6/1/2004 1:00,293.051,291.843,290.735,290.676,0,287.333,99705.5,288.746,100089.363,,,,0,288.671
6/1/2004 1:05,293.026,291.824,290.664,290.619,0,287.342,99703.931,288.719,100089.419,,,,0,288.746
6/1/2004 1:10,293.006,291.81,290.597,290.584,0,287.351,99702.361,288.655,100089.496,,,,0,288.719
6/1/2004 1:15,292.959,291.77,290.509,290.41,0,287.36,99700.792,288.573,100089.582,,,,0,288.655
6/1/2004 1:20,292.936,291.753,290.441,290.368,0,287.369,99699.222,288.513,100089.652,,,,0,288.573
6/1/2004 1:25,292.898,291.721,290.365,290.255,0,287.378,99697.653,288.454,100089.721,,,,0,288.513
6/1/2004 1:30,292.879,291.708,290.305,290.25,0,287.387,99696.083,288.41,100089.778,,,,0,288.454
6/1/2004 1:35,292.844,291.678,290.231,290.149,0,287.396,99694.514,288.358,100089.839,,,,0,288.41
6/1/2004 1:40,292.825,291.665,290.17,290.147,0,287.405,99692.944,288.318,100089.89,,,,0,288.358
6/1/2004 1:45,292.791,291.637,290.101,290.049,0,287.414,99691.375,288.271,100089.945,,,,0,288.318
6/1/2004 1:50,292.774,291.624,290.043,290.053,0,287.423,99689.806,288.236,100089.99,,,,0,288.271
