cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,293.178,291.914,291.261,290.535,0.000,287.334,99731.472,288.667,100089.705,
2004-06-01 00:10:00,293.070,291.801,291.084,289.358,0.000,287.334,99729.111,288.242,100089.933,
2004-06-01 00:15:00,293.071,291.812,291.225,289.688,0.000,287.334,99726.750,288.289,100089.902,
2004-06-01 00:20:00,293.098,291.849,291.390,290.154,0.000,287.334,99724.389,288.369,100089.841,
2004-06-01 00:25:00,293.081,291.840,291.298,290.221,0.000,287.334,99722.028,288.402,100089.805,
2004-06-01 00:30:00,293.056,291.823,291.197,290.252,0.000,287.334,99719.667,288.428,100089.765,
2004-06-01 00:35:00,293.020,291.794,291.079,290.204,0.000,287.333,99717.306,288.447,100089.730,
2004-06-01 00:40:00,292.997,291.778,290.972,290.221,0.000,287.333,99714.944,288.482,100089.679,
2004-06-01 00:45:00,292.972,291.759,290.880,290.224,0.000,287.333,99712.583,288.520,100089.626,
2004-06-01 00:50:00,292.954,291.748,290.793,290.268,0.000,287.333,99710.222,288.574,100089.556,
2004-06-01 00:55:00,292.937,291.735,290.702,290.302,0.000,287.333,99707.861,288.631,100089.480,
2004-06-01 01:00:00,292.929,291.734,290.642,290.362,0.000,287.333,99705.500,288.704,100089.385,
2004-06-01 01:05:00,292.911,291.722,290.577,290.350,0.000,287.342,99703.931,288.683,100089.437,
2004-06-01 01:10:00,292.883,291.701,290.504,290.283,0.000,287.351,99702.361,288.617,100089.515,
2004-06-01 01:15:00,292.842,291.667,290.420,290.147,0.000,287.360,99700.792,288.538,100089.600,
2004-06-01 01:20:00,292.810,291.641,290.344,290.057,0.000,287.369,99699.222,288.474,100089.671,
2004-06-01 01:25:00,292.778,291.615,290.273,289.982,0.000,287.378,99697.653,288.417,100089.739,
2004-06-01 01:30:00,292.750,291.593,290.205,289.934,0.000,287.387,99696.083,288.369,100089.799,
2004-06-01 01:35:00,292.721,291.570,290.137,289.878,0.000,287.396,99694.514,288.321,100089.857,
2004-06-01 01:40:00,292.694,291.549,290.070,289.832,0.000,287.405,99692.944,288.277,100089.911,
2004-06-01 01:45:00,292.666,291.527,290.005,289.780,0.000,287.414,99691.375,288.234,100089.963,
2004-06-01 01:50:00,292.641,291.507,289.942,289.738,0.000,287.423,99689.806,288.195,100090.011,
2004-06-01 01:55:00,292.616,291.487,289.878,289.692,0.000,287.432,99688.236,288.157,100090.057,
2004-06-01 02:00:00,292.594,291.472,289.839,289.656,0.000,287.441,99686.667,288.122,100090.099,
2004-06-01 02:05:00,292.576,291.461,289.808,289.634,0.000,287.444,99685.875,288.115,100090.100,
2004-06-01 02:10:00,292.562,291.453,289.780,289.638,0.000,287.446,99685.083,288.121,100090.093,
2004-06-01 02:15:00,292.551,291.448,289.752,289.642,0.000,287.448,99684.292,288.128,100090.085,
2004-06-01 02:20:00,292.539,291.443,289.724,289.644,0.000,287.450,99683.500,288.134,100090.078,
2004-06-01 02:25:00,292.528,291.438,289.709,289.635,0.000,287.453,99682.708,288.137,100090.073,
2004-06-01 02:30:00,292.518,291.434,289.695,289.628,0.000,287.455,99681.917,288.139,100090.068,
2004-06-01 02:35:00,292.508,291.431,289.680,289.618,0.000,287.457,99681.125,288.141,100090.064,
2004-06-01 02:40:00,292.499,291.428,289.666,289.613,0.000,287.460,99680.333,288.144,100090.059,
2004-06-01 02:45:00,292.491,291.427,289.663,289.605,0.000,287.462,99679.542,288.146,100090.054,
2004-06-01 02:50:00,292.484,291.426,289.660,289.601,0.000,287.464,99678.750,288.149,100090.050,
2004-06-01 02:55:00,292.478,291.425,289.657,289.594,0.000,287.466,99677.958,288.152,100090.045,
2004-06-01 03:00:00,292.463,291.417,289.630,289.590,0.000,287.469,99677.167,288.154,100090.041,
2004-06-01 03:05:00,292.450,291.410,289.611,289.595,0.000,287.468,99678.042,288.175,100090.009,
2004-06-01 03:10:00,292.440,291.405,289.594,289.616,0.000,287.467,99678.917,288.204,100089.970,
2004-06-01 03:15:00,292.430,291.401,289.578,289.641,0.000,287.466,99679.792,288.236,100089.931,
2004-06-01 03:20:00,292.420,291.396,289.561,289.664,0.000,287.465,99680.667,288.268,100089.891,
2004-06-01 03:25:00,292.410,291.391,289.544,289.681,0.000,287.464,99681.542,288.298,100089.851,
2004-06-01 03:30:00,292.400,291.386,289.526,289.699,0.000,287.463,99682.417,288.329,100089.811,
2004-06-01 03:35:00,292.390,291.381,289.508,289.715,0.000,287.462,99683.292,288.360,100089.771,
2004-06-01 03:40:00,292.380,291.377,289.491,289.735,0.000,287.462,99684.167,288.392,100089.729,
2004-06-01 03:45:00,292.371,291.372,289.474,289.754,0.000,287.461,99685.042,288.424,100089.687,
2004-06-01 03:50:00,292.362,291.368,289.457,289.776,0.000,287.460,99685.917,288.457,100089.644,
2004-06-01 03:55:00,292.353,291.364,289.441,289.796,0.000,287.459,99686.792,288.491,100089.601,
2004-06-01 04:00:00,292.339,291.355,289.409,289.819,0.000,287.458,99687.667,288.525,100089.556,
2004-06-01 04:05:00,292.316,291.337,289.371,289.788,0.000,287.467,99687.667,288.480,100089.635,
2004-06-01 04:10:00,292.285,291.312,289.327,289.706,0.000,287.476,99687.667,288.402,100089.727,
2004-06-01 04:15:00,292.247,291.280,289.280,289.606,0.000,287.486,99687.667,288.327,100089.809,
2004-06-01 04:20:00,292.213,291.252,289.237,289.537,0.000,287.495,99687.667,288.271,100089.873,
2004-06-01 04:25:00,292.180,291.224,289.187,289.493,0.000,287.504,99687.667,288.228,100089.924,
2004-06-01 04:30:00,292.149,291.199,289.139,289.461,0.000,287.513,99687.667,288.195,100089.965,
2004-06-01 04:35:00,292.117,291.171,289.091,289.428,0.000,287.523,99687.667,288.166,100090.000,
2004-06-01 04:40:00,292.084,291.144,289.042,289.395,0.000,287.532,99687.667,288.140,100090.030,
2004-06-01 04:45:00,292.051,291.116,288.989,289.361,0.000,287.541,99687.667,288.117,100090.057,
2004-06-01 04:50:00,292.018,291.087,288.935,289.328,0.000,287.550,99687.667,288.097,100090.079,
2004-06-01 04:55:00,291.984,291.058,288.882,289.296,0.000,287.559,99687.667,288.079,100090.099,
2004-06-01 05:00:00,291.953,291.034,288.857,289.266,168.564,287.569,99687.667,288.063,100090.116,
2004-06-01 05:05:00,292.014,291.095,288.899,289.778,157.808,287.585,99689.319,288.511,100089.934,
2004-06-01 05:10:00,291.996,291.083,288.885,289.819,158.586,287.600,99690.972,288.545,100089.932,
2004-06-01 05:15:00,291.940,291.035,288.830,289.556,76.005,287.616,99692.625,288.380,100090.033,
2004-06-01 05:20:00,291.863,290.967,288.758,289.181,70.785,287.632,99694.278,288.100,100090.192,
2004-06-01 05:25:00,290.951,291.840,288.773,289.087,69.393,287.648,99695.931,288.027,100090.254,
2004-06-01 05:30:00,290.967,291.851,288.815,289.182,70.776,287.664,99697.583,288.021,100090.279,
2004-06-01 05:35:00,290.940,291.816,288.811,288.975,67.682,287.680,99699.236,288.008,100090.301,
2004-06-01 05:40:00,290.952,291.823,288.841,288.998,68.490,287.695,99700.889,287.974,100090.333,
2004-06-01 05:45:00,290.927,291.790,288.857,288.799,65.626,287.711,99702.542,287.928,100090.371,
2004-06-01 05:50:00,290.944,291.802,288.912,288.847,66.401,287.727,99704.194,287.902,100090.400,
2004-06-01 05:55:00,290.931,291.782,288.938,288.715,64.300,287.743,99705.847,287.874,100090.427,
2004-06-01 06:00:00,290.953,291.799,288.994,288.777,131.221,287.759,99707.500,287.860,100090.447,
2004-06-01 06:05:00,290.977,291.818,289.063,288.832,66.347,287.805,99709.000,287.968,100090.416,
2004-06-01 06:10:00,290.960,291.829,289.107,288.742,64.745,287.850,99710.500,287.843,100090.498,
2004-06-01 06:15:00,290.960,291.825,289.152,288.658,63.167,287.896,99712.000,287.804,100090.543,
2004-06-01 06:20:00,291.012,291.872,289.242,288.844,66.283,287.942,99713.500,287.838,100090.549,
2004-06-01 06:25:00,291.025,291.878,289.306,288.792,65.480,287.988,99715.000,287.827,100090.575,
2004-06-01 06:30:00,291.940,291.116,289.446,288.905,67.041,288.033,99716.500,287.842,100090.588,
2004-06-01 06:35:00,291.977,291.191,289.558,288.863,66.621,288.079,99718.000,287.826,100090.617,
2004-06-01 06:40:00,292.045,291.296,289.698,288.980,68.406,288.125,99719.500,287.840,100090.631,
2004-06-01 06:45:00,292.086,291.379,289.834,288.927,67.411,288.170,99721.000,287.823,100090.660,
2004-06-01 06:50:00,292.159,291.492,289.998,289.031,68.714,288.216,99722.500,287.831,100090.676,
2004-06-01 06:55:00,292.204,291.585,290.133,288.978,68.060,288.262,99724.000,287.813,100090.706,
