cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,293.742,292.108,291.296,290.704,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,293.647,292.024,291.140,289.637,0.000,287.334,99729.111,288.272,100089.919,
2004-06-01 00:15:00,293.675,292.069,291.304,290.090,0.000,287.334,99726.750,288.337,100089.878,
2004-06-01 00:20:00,293.705,292.114,291.470,290.563,0.000,287.334,99724.389,288.422,100089.814,
2004-06-01 00:25:00,293.672,292.094,291.367,290.542,0.000,287.334,99722.028,288.448,100089.782,
2004-06-01 00:30:00,293.656,292.090,291.277,290.601,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,293.611,292.056,291.157,290.508,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,293.595,292.051,291.063,290.560,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,293.562,292.027,290.966,290.523,0.000,287.333,99712.583,288.562,100089.605,
2004-06-01 00:50:00,293.571,292.012,290.886,290.598,0.000,287.333,99710.222,288.618,100089.533,
2004-06-01 00:55:00,293.552,291.990,290.791,290.589,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,293.553,291.995,290.739,290.678,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,293.530,291.974,290.668,290.621,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,293.511,291.957,290.601,290.586,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,293.467,291.914,290.513,290.412,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,293.411,291.915,290.445,290.370,0.000,287.369,99699.222,288.514,100089.652,
2004-06-01 01:25:00,293.369,291.885,290.369,290.257,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,293.345,291.872,290.309,290.252,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,293.307,291.844,290.235,290.151,0.000,287.396,99694.514,288.358,100089.839,
