cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,291.928,292.404,291.297,290.704,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,291.844,292.320,291.142,289.639,0.000,287.334,99729.111,288.272,100089.919,
2004-06-01 00:15:00,291.875,292.372,291.306,290.091,0.000,287.334,99726.750,288.338,100089.878,
2004-06-01 00:20:00,291.921,292.411,291.471,290.566,0.000,287.334,99724.389,288.422,100089.814,
2004-06-01 00:25:00,291.900,292.387,291.368,290.544,0.000,287.334,99722.028,288.448,100089.781,
2004-06-01 00:30:00,291.894,292.379,291.278,290.602,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,291.859,292.342,291.159,290.509,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,291.853,292.333,291.065,290.562,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,291.828,292.305,290.968,290.525,0.000,287.333,99712.583,288.562,100089.605,
2004-06-01 00:50:00,291.824,292.299,290.888,290.599,0.000,287.333,99710.222,288.618,100089.533,
2004-06-01 00:55:00,291.804,292.277,290.793,290.590,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,291.810,292.281,290.741,290.679,0.000,287.333,99705.500,288.747,100089.363,
2004-06-01 01:05:00,291.791,292.259,290.670,290.622,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,291.776,292.242,290.603,290.588,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,291.736,292.198,290.515,290.413,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,291.719,292.179,290.446,290.371,0.000,287.369,99699.222,288.514,100089.651,
2004-06-01 01:25:00,291.687,292.143,290.371,290.258,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,291.673,292.127,290.310,290.253,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,291.644,292.094,290.237,290.152,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,291.630,292.078,290.176,290.150,0.000,287.405,99692.944,288.319,100089.890,
2004-06-01 01:45:00,291.601,292.046,290.106,290.051,0.000,287.414,99691.375,288.271,100089.944,
2004-06-01 01:50:00,291.589,292.031,290.049,290.055,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,291.562,292.000,289.980,289.962,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,291.555,291.991,289.948,289.973,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,291.537,291.970,289.912,289.902,0.000,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,291.538,291.969,289.891,289.955,0.000,287.446,99685.083,288.163,100090.072,
2004-06-01 02:15:00,291.525,291.953,289.857,289.905,0.000,287.448,99684.292,288.165,100090.066,
2004-06-01 02:20:00,291.528,291.954,289.836,289.957,0.000,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,291.516,291.938,289.816,289.892,0.000,287.453,99682.708,288.173,100090.055,
2004-06-01 02:30:00,291.521,291.941,289.809,289.938,0.000,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,291.509,291.926,289.788,289.871,0.000,287.457,99681.125,288.177,100090.046,
2004-06-01 02:40:00,291.516,291.931,289.782,289.921,0.000,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,291.506,291.918,289.772,289.855,0.000,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,291.515,291.924,289.777,289.907,0.000,287.464,99678.750,288.189,100090.029,
2004-06-01 02:55:00,291.506,291.912,289.767,289.840,0.000,287.466,99677.958,288.186,100090.027,
2004-06-01 03:00:00,291.507,291.912,289.749,289.894,0.000,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,291.491,291.893,289.723,289.838,0.000,287.468,99678.042,288.210,100089.991,
2004-06-01 03:10:00,291.496,291.897,289.715,289.920,0.000,287.467,99678.917,288.244,100089.950,
