cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,293.144,293.607,292.318,295.483,0.000,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,292.181,292.672,291.297,290.705,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,292.097,292.582,291.140,289.636,0.000,287.334,99729.111,288.271,100089.919,
2004-06-01 00:15:00,292.142,292.616,291.304,290.088,0.000,287.334,99726.750,288.337,100089.878,
2004-06-01 00:20:00,292.186,292.651,291.469,290.561,0.000,287.334,99724.389,288.422,100089.814,
2004-06-01 00:25:00,292.166,292.624,291.367,290.540,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,292.159,292.614,291.277,290.599,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,292.122,292.577,291.158,290.507,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,292.114,292.569,291.063,290.559,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,292.087,292.543,290.966,290.522,0.000,287.333,99712.583,288.562,100089.605,
2004-06-01 00:50:00,292.082,292.537,290.886,290.597,0.000,287.333,99710.222,288.617,100089.533,
2004-06-01 00:55:00,292.060,292.517,290.791,290.588,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,292.065,292.520,290.739,290.677,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,292.044,292.499,290.669,290.621,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,292.027,292.482,290.601,290.585,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,291.984,292.441,290.513,290.411,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,291.965,292.422,290.445,290.369,0.000,287.369,99699.222,288.514,100089.652,
2004-06-01 01:25:00,291.931,292.388,290.369,290.257,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,291.915,292.373,290.309,290.251,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,291.882,292.341,290.235,290.151,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,291.867,292.326,290.174,290.148,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,291.835,292.296,290.104,290.050,0.000,287.414,99691.375,288.271,100089.944,
2004-06-01 01:50:00,291.821,292.283,290.047,290.054,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,291.791,292.254,289.978,289.961,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,291.783,292.245,289.946,289.972,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,291.762,292.224,289.910,289.901,0.000,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,291.762,292.222,289.889,289.954,0.000,287.446,99685.083,288.163,100090.072,
2004-06-01 02:15:00,291.747,292.206,289.855,289.904,0.000,287.448,99684.292,288.165,100090.066,
2004-06-01 02:20:00,291.749,292.207,289.835,289.956,0.000,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,291.734,292.191,289.814,289.891,0.000,287.453,99682.708,288.173,100090.055,
2004-06-01 02:30:00,291.738,292.193,289.807,289.937,0.000,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,291.724,292.178,289.787,289.871,0.000,287.457,99681.125,288.177,100090.046,
2004-06-01 02:40:00,291.730,292.182,289.780,289.920,0.000,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,291.718,292.169,289.771,289.854,0.000,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,291.755,292.139,289.776,289.906,0.000,287.464,99678.750,288.189,100090.029,
2004-06-01 02:55:00,291.748,292.122,289.766,289.839,0.000,287.466,99677.958,288.186,100090.027,
2004-06-01 03:00:00,291.751,292.116,289.747,289.893,0.000,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,291.737,292.093,289.722,289.838,0.000,287.468,99678.042,288.210,100089.991,
