cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.839,299.839,298.230,290.326,0.000,287.334,99731.472,288.718,100089.682,
2004-06-01 00:10:00,299.509,299.509,295.661,289.235,0.000,287.334,99729.111,288.264,100089.921,
2004-06-01 00:15:00,298.931,298.931,292.315,289.582,0.000,287.334,99726.750,288.333,100089.879,
2004-06-01 00:20:00,298.411,298.411,290.472,289.983,0.000,287.334,99724.389,288.432,100089.808,
2004-06-01 00:25:00,298.013,298.013,289.406,289.984,0.000,287.334,99722.028,288.465,100089.772,
2004-06-01 00:30:00,297.715,297.715,288.712,290.027,0.000,287.334,99719.667,288.495,100089.729,
2004-06-01 00:35:00,297.474,297.474,288.192,289.940,0.000,287.333,99717.306,288.504,100089.699,
2004-06-01 00:40:00,297.269,297.269,287.745,289.990,0.000,287.333,99714.944,288.542,100089.647,
2004-06-01 00:45:00,297.091,297.091,287.342,289.948,0.000,287.333,99712.583,288.572,100089.598,
2004-06-01 00:50:00,296.935,296.935,286.972,290.031,0.000,287.333,99710.222,288.629,100089.526,
2004-06-01 00:55:00,296.797,296.797,286.635,290.012,0.000,287.333,99707.861,288.678,100089.455,
2004-06-01 01:00:00,296.674,296.674,286.326,290.114,0.000,287.333,99705.500,288.755,100089.357,
2004-06-01 01:05:00,296.563,296.563,286.042,290.042,0.000,287.342,99703.931,288.723,100089.416,
2004-06-01 01:10:00,296.466,296.466,285.805,290.025,0.000,287.351,99702.361,288.664,100089.491,
2004-06-01 01:15:00,296.374,296.374,285.615,289.854,0.000,287.360,99700.792,288.578,100089.579,
2004-06-01 01:20:00,296.284,296.284,285.470,289.828,0.000,287.369,99699.222,288.522,100089.646,
2004-06-01 01:25:00,296.194,296.194,285.364,289.707,0.000,287.378,99697.653,288.459,100089.717,
2004-06-01 01:30:00,296.108,296.108,285.292,289.716,0.000,287.387,99696.083,288.418,100089.773,
2004-06-01 01:35:00,296.025,296.025,285.250,289.605,0.000,287.396,99694.514,288.363,100089.835,
2004-06-01 01:40:00,295.946,295.946,285.234,289.617,0.000,287.405,99692.944,288.327,100089.885,
2004-06-01 01:45:00,295.871,295.871,285.241,289.508,0.000,287.414,99691.375,288.276,100089.941,
2004-06-01 01:50:00,295.800,295.800,285.268,289.527,0.000,287.423,99689.806,288.244,100089.985,
2004-06-01 01:55:00,295.732,295.732,285.313,289.422,0.000,287.432,99688.236,288.198,100090.035,
2004-06-01 02:00:00,295.667,295.667,285.374,289.448,0.000,287.441,99686.667,288.171,100090.074,
2004-06-01 02:05:00,295.604,295.604,285.450,289.365,0.000,287.444,99685.875,288.156,100090.078,
2004-06-01 02:10:00,295.542,295.542,285.515,289.431,0.000,287.446,99685.083,288.170,100090.067,
2004-06-01 02:15:00,295.482,295.482,285.570,289.369,0.000,287.448,99684.292,288.168,100090.064,
2004-06-01 02:20:00,295.424,295.424,285.617,289.435,0.000,287.450,99683.500,288.182,100090.053,
2004-06-01 02:25:00,295.368,295.368,285.656,289.360,0.000,287.453,99682.708,288.175,100090.052,
2004-06-01 02:30:00,295.315,295.315,285.689,289.421,0.000,287.455,99681.917,288.186,100090.043,
2004-06-01 02:35:00,295.263,295.263,285.716,289.345,0.000,287.457,99681.125,288.179,100090.043,
2004-06-01 02:40:00,295.212,295.212,285.736,289.408,0.000,287.460,99680.333,288.190,100090.035,
2004-06-01 02:45:00,295.162,295.162,285.752,289.332,0.000,287.462,99679.542,288.183,100090.035,
2004-06-01 02:50:00,295.113,295.113,285.763,289.398,0.000,287.464,99678.750,288.194,100090.026,
2004-06-01 02:55:00,295.066,295.066,285.771,289.321,0.000,287.466,99677.958,288.187,100090.026,
2004-06-01 03:00:00,295.020,295.020,285.775,289.388,0.000,287.469,99677.167,288.199,100090.017,
2004-06-01 03:05:00,294.975,294.975,285.777,289.324,0.000,287.468,99678.042,288.210,100089.990,
2004-06-01 03:10:00,294.930,294.930,285.761,289.417,0.000,287.467,99678.917,288.248,100089.947,
2004-06-01 03:15:00,294.885,294.885,285.730,289.369,0.000,287.466,99679.792,288.270,100089.912,
2004-06-01 03:20:00,294.841,294.841,285.685,289.463,0.000,287.465,99680.667,288.310,100089.869,
2004-06-01 03:25:00,294.798,294.798,285.628,289.409,0.000,287.464,99681.542,288.330,100089.834,
2004-06-01 03:30:00,294.757,294.757,285.559,289.500,0.000,287.463,99682.417,288.370,100089.790,
2004-06-01 03:35:00,294.716,294.716,285.481,289.446,0.000,287.462,99683.292,288.391,100089.754,
2004-06-01 03:40:00,294.676,294.676,285.394,289.539,0.000,287.462,99684.167,288.431,100089.708,
2004-06-01 03:45:00,294.636,294.636,285.299,289.487,0.000,287.461,99685.042,288.454,100089.671,
2004-06-01 03:50:00,294.598,294.598,285.197,289.582,0.000,287.460,99685.917,288.496,100089.624,
2004-06-01 03:55:00,294.560,294.560,285.089,289.532,0.000,287.459,99686.792,288.519,100089.585,
2004-06-01 04:00:00,294.522,294.522,284.976,289.627,0.000,287.458,99687.667,288.562,100089.536,
2004-06-01 04:05:00,294.486,294.486,284.856,289.522,0.000,287.467,99687.667,288.507,100089.621,
2004-06-01 04:10:00,294.452,294.452,284.761,289.514,0.000,287.476,99687.667,288.438,100089.709,
2004-06-01 04:15:00,294.419,294.419,284.693,289.353,0.000,287.486,99687.667,288.356,100089.793,
2004-06-01 04:20:00,294.383,294.383,284.650,289.362,0.000,287.495,99687.667,288.310,100089.852,
2004-06-01 04:25:00,294.345,294.345,284.631,289.250,0.000,287.504,99687.667,288.260,100089.907,
2004-06-01 04:30:00,294.306,294.306,284.634,289.292,0.000,287.513,99687.667,288.237,100089.943,
2004-06-01 04:35:00,294.268,294.268,284.658,289.190,0.000,287.523,99687.667,288.200,100089.982,
2004-06-01 04:40:00,294.230,294.230,284.705,289.234,0.000,287.532,99687.667,288.185,100090.007,
2004-06-01 04:45:00,294.194,294.194,284.773,289.133,0.000,287.541,99687.667,288.153,100090.037,
2004-06-01 04:50:00,294.159,294.159,284.862,289.178,0.000,287.550,99687.667,288.144,100090.055,
2004-06-01 04:55:00,294.124,294.124,284.974,289.081,0.000,287.559,99687.667,288.117,100090.078,
2004-06-01 05:00:00,294.090,294.090,285.107,289.129,32.419,287.569,99687.667,288.112,100090.090,
2004-06-01 05:05:00,294.057,294.057,285.259,289.098,32.138,287.585,99689.319,288.135,100090.110,
2004-06-01 05:10:00,294.028,294.028,285.463,289.139,32.344,287.600,99690.972,288.119,100090.144,
2004-06-01 05:15:00,294.006,294.006,285.710,289.004,15.761,287.616,99692.625,288.066,100090.193,
2004-06-01 05:20:00,293.986,293.986,285.992,288.983,15.717,287.632,99694.278,288.006,100090.242,
2004-06-01 05:25:00,293.966,293.966,286.303,288.869,15.313,287.648,99695.931,287.959,100090.287,
2004-06-01 05:30:00,293.943,293.943,286.618,288.958,15.609,287.664,99697.583,287.942,100090.316,
2004-06-01 05:35:00,293.907,293.907,287.095,288.658,14.512,287.680,99699.236,287.895,100090.355,
2004-06-01 05:40:00,293.886,293.886,287.374,288.746,14.928,287.695,99700.889,287.880,100090.380,
