cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.794,299.794,298.230,289.614,0.000,287.334,99731.472,288.768,100089.662,
2004-06-01 00:10:00,299.400,299.400,295.730,288.704,0.000,287.334,99729.111,288.257,100089.923,
2004-06-01 00:15:00,298.758,298.758,292.410,288.907,0.000,287.334,99726.750,288.332,100089.878,
2004-06-01 00:20:00,298.185,298.185,290.526,289.241,0.000,287.334,99724.389,288.470,100089.788,
2004-06-01 00:25:00,297.748,297.748,289.444,289.249,0.000,287.334,99722.028,288.504,100089.750,
2004-06-01 00:30:00,297.413,297.413,288.747,289.280,0.000,287.334,99719.667,288.537,100089.706,
2004-06-01 00:35:00,297.144,297.144,288.221,289.199,0.000,287.333,99717.306,288.528,100089.686,
2004-06-01 00:40:00,296.914,296.914,287.764,289.256,0.000,287.333,99714.944,288.569,100089.632,
2004-06-01 00:45:00,296.717,296.717,287.350,289.222,0.000,287.333,99712.583,288.587,100089.589,
2004-06-01 00:50:00,296.544,296.544,286.971,289.311,0.000,287.333,99710.222,288.651,100089.514,
2004-06-01 00:55:00,296.393,296.393,286.627,289.298,0.000,287.333,99707.861,288.689,100089.448,
2004-06-01 01:00:00,296.257,296.257,286.312,289.407,0.000,287.333,99705.500,288.773,100089.347,
2004-06-01 01:05:00,296.137,296.137,286.025,289.330,0.000,287.342,99703.931,288.730,100089.411,
2004-06-01 01:10:00,296.030,296.030,285.786,289.315,0.000,287.351,99702.361,288.679,100089.483,
2004-06-01 01:15:00,295.931,295.931,285.593,289.164,0.000,287.360,99700.792,288.585,100089.574,
2004-06-01 01:20:00,295.833,295.833,285.442,289.144,0.000,287.369,99699.222,288.537,100089.638,
2004-06-01 01:25:00,295.739,295.739,285.328,289.031,0.000,287.378,99697.653,288.465,100089.713,
2004-06-01 01:30:00,295.646,295.646,285.247,289.037,0.000,287.387,99696.083,288.433,100089.765,
2004-06-01 01:35:00,295.561,295.561,285.194,288.932,0.000,287.396,99694.514,288.369,100089.831,
2004-06-01 01:40:00,295.477,295.477,285.167,288.942,0.000,287.405,99692.944,288.341,100089.877,
2004-06-01 01:45:00,295.400,295.400,285.163,288.840,0.000,287.414,99691.375,288.281,100089.938,
2004-06-01 01:50:00,295.325,295.325,285.179,288.855,0.000,287.423,99689.806,288.258,100089.978,
2004-06-01 01:55:00,295.255,295.255,285.214,288.758,0.000,287.432,99688.236,288.203,100090.032,
2004-06-01 02:00:00,295.186,295.186,285.266,288.778,0.000,287.441,99686.667,288.184,100090.067,
2004-06-01 02:05:00,295.123,295.123,285.332,288.706,0.000,287.444,99685.875,288.160,100090.075,
2004-06-01 02:10:00,295.058,295.058,285.389,288.766,0.000,287.446,99685.083,288.182,100090.060,
2004-06-01 02:15:00,294.996,294.996,285.437,288.713,0.000,287.448,99684.292,288.171,100090.061,
2004-06-01 02:20:00,294.934,294.934,285.477,288.772,0.000,287.450,99683.500,288.192,100090.047,
2004-06-01 02:25:00,294.877,294.877,285.510,288.711,0.000,287.453,99682.708,288.177,100090.050,
2004-06-01 02:30:00,294.820,294.820,285.536,288.765,0.000,287.455,99681.917,288.195,100090.038,
2004-06-01 02:35:00,294.766,294.766,285.557,288.704,0.000,287.457,99681.125,288.180,100090.042,
2004-06-01 02:40:00,294.712,294.712,285.573,288.759,0.000,287.460,99680.333,288.198,100090.030,
2004-06-01 02:45:00,294.661,294.661,285.585,288.699,0.000,287.462,99679.542,288.183,100090.034,
2004-06-01 02:50:00,294.609,294.609,285.592,288.755,0.000,287.464,99678.750,288.202,100090.022,
2004-06-01 02:55:00,294.561,294.561,285.596,288.695,0.000,287.466,99677.958,288.187,100090.025,
2004-06-01 03:00:00,294.512,294.512,285.597,288.750,0.000,287.469,99677.167,288.205,100090.013,
2004-06-01 03:05:00,294.466,294.466,285.596,288.706,0.000,287.468,99678.042,288.208,100089.989,
2004-06-01 03:10:00,294.417,294.417,285.577,288.786,0.000,287.467,99678.917,288.253,100089.944,
2004-06-01 03:15:00,294.371,294.371,285.543,288.757,0.000,287.466,99679.792,288.267,100089.913,
2004-06-01 03:20:00,294.324,294.324,285.496,288.839,0.000,287.465,99680.667,288.313,100089.866,
2004-06-01 03:25:00,294.280,294.280,285.436,288.806,0.000,287.464,99681.542,288.326,100089.835,
2004-06-01 03:30:00,294.234,294.234,285.365,288.884,0.000,287.463,99682.417,288.371,100089.788,
2004-06-01 03:35:00,294.192,294.192,285.285,288.853,0.000,287.462,99683.292,288.385,100089.755,
2004-06-01 03:40:00,294.148,294.148,285.196,288.932,0.000,287.462,99684.167,288.431,100089.707,
2004-06-01 03:45:00,294.107,294.107,285.099,288.904,0.000,287.461,99685.042,288.447,100089.673,
2004-06-01 03:50:00,294.065,294.065,284.995,288.983,0.000,287.460,99685.917,288.494,100089.624,
2004-06-01 03:55:00,294.026,294.026,284.885,288.958,0.000,287.459,99686.792,288.512,100089.588,
2004-06-01 04:00:00,293.985,293.985,284.769,289.037,0.000,287.458,99687.667,288.559,100089.537,
2004-06-01 04:05:00,293.947,293.947,284.648,288.951,0.000,287.467,99687.667,288.499,100089.624,
2004-06-01 04:10:00,293.910,293.910,284.552,288.924,0.000,287.476,99687.667,288.437,100089.709,
2004-06-01 04:15:00,293.877,293.877,284.481,288.793,0.000,287.486,99687.667,288.351,100089.796,
2004-06-01 04:20:00,293.838,293.838,284.432,288.782,0.000,287.495,99687.667,288.310,100089.852,
2004-06-01 04:25:00,293.800,293.800,284.403,288.695,0.000,287.504,99687.667,288.255,100089.909,
2004-06-01 04:30:00,293.759,293.759,284.393,288.714,0.000,287.513,99687.667,288.237,100089.943,
2004-06-01 04:35:00,293.721,293.721,284.401,288.639,0.000,287.523,99687.667,288.196,100089.983,
2004-06-01 04:40:00,293.682,293.682,284.426,288.662,0.000,287.532,99687.667,288.186,100090.006,
2004-06-01 04:45:00,293.646,293.646,284.466,288.592,0.000,287.541,99687.667,288.152,100090.038,
2004-06-01 04:50:00,293.609,293.609,284.523,288.618,0.000,287.550,99687.667,288.147,100090.053,
2004-06-01 04:55:00,293.575,293.575,284.594,288.553,0.000,287.559,99687.667,288.118,100090.078,
2004-06-01 05:00:00,293.540,293.540,284.681,288.582,76.870,287.569,99687.667,288.117,100090.088,
2004-06-01 05:05:00,293.508,293.508,284.781,288.626,68.078,287.585,99689.319,288.170,100090.093,
2004-06-01 05:10:00,293.480,293.480,284.932,288.644,68.200,287.600,99690.972,288.156,100090.125,
2004-06-01 05:15:00,293.464,293.464,285.126,288.537,33.325,287.616,99692.625,288.094,100090.178,
2004-06-01 05:20:00,293.448,293.448,285.363,288.480,32.881,287.632,99694.278,288.025,100090.232,
2004-06-01 05:25:00,293.434,293.434,285.639,288.397,32.125,287.648,99695.931,287.974,100090.279,
2004-06-01 05:30:00,293.415,293.415,285.944,288.457,32.612,287.664,99697.583,287.970,100090.302,
2004-06-01 05:35:00,293.379,293.379,286.531,288.278,30.963,287.680,99699.236,287.911,100090.347,
2004-06-01 05:40:00,293.360,293.360,287.003,288.344,31.787,287.695,99700.889,287.912,100090.364,
2004-06-01 05:45:00,293.328,293.328,287.339,288.227,30.843,287.711,99702.542,287.864,100090.403,
2004-06-01 05:50:00,293.310,293.310,287.557,288.382,32.326,287.727,99704.194,287.908,100090.396,
2004-06-01 05:55:00,293.289,293.289,287.672,288.299,31.602,287.743,99705.847,287.882,100090.421,
2004-06-01 06:00:00,293.282,293.282,287.773,288.412,65.699,287.759,99707.500,287.913,100090.417,
2004-06-01 06:05:00,293.273,293.273,288.004,288.337,32.226,287.805,99709.000,287.905,100090.442,
2004-06-01 06:10:00,293.278,293.280,288.421,288.402,32.832,287.850,99710.500,287.893,100090.470,
2004-06-01 06:15:00,293.289,293.294,288.772,288.315,31.988,287.896,99712.000,287.851,100090.513,
2004-06-01 06:20:00,293.308,293.317,289.080,288.432,33.245,287.942,99713.500,287.878,100090.522,
2004-06-01 06:25:00,293.332,293.344,289.337,288.336,32.419,287.988,99715.000,287.840,100090.561,
2004-06-01 06:30:00,293.362,293.378,289.605,288.444,33.432,288.033,99716.500,287.862,100090.572,
2004-06-01 06:35:00,293.396,293.416,289.835,288.350,32.710,288.079,99718.000,287.824,100090.612,
2004-06-01 06:40:00,293.433,293.457,290.087,288.454,33.756,288.125,99719.500,287.843,100090.624,
2004-06-01 06:45:00,293.474,293.501,290.307,288.356,32.800,288.170,99721.000,287.803,100090.664,
2004-06-01 06:50:00,293.517,293.548,290.551,288.467,33.785,288.216,99722.500,287.824,100090.674,
2004-06-01 06:55:00,293.564,293.598,290.767,288.365,32.914,288.262,99724.000,287.783,100090.714,
2004-06-01 07:00:00,293.612,293.649,291.010,288.473,67.941,288.308,99725.500,287.802,100090.726,
2004-06-01 07:05:00,293.663,293.703,291.224,288.432,69.451,288.370,99729.069,287.816,100090.731,
