cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,292.323,291.115,291.152,290.025,0.000,287.334,99731.472,288.535,100089.764,
2004-06-01 00:10:00,292.288,291.062,291.022,289.062,0.000,287.334,99729.111,288.106,100090.000,
2004-06-01 00:15:00,292.330,291.127,291.163,289.382,0.000,287.334,99726.750,288.174,100089.960,
2004-06-01 00:20:00,292.400,291.214,291.330,289.849,0.000,287.334,99724.389,288.302,100089.876,
2004-06-01 00:25:00,292.414,291.241,291.226,289.875,0.000,287.334,99722.028,288.382,100089.817,
2004-06-01 00:30:00,292.444,291.284,291.136,289.991,0.000,287.334,99719.667,288.429,100089.765,
2004-06-01 00:35:00,292.430,291.281,290.998,289.855,0.000,287.333,99717.306,288.436,100089.735,
2004-06-01 00:40:00,292.451,291.314,290.895,289.925,0.000,287.333,99714.944,288.465,100089.687,
2004-06-01 00:45:00,292.444,291.317,290.788,289.848,0.000,287.333,99712.583,288.489,100089.642,
2004-06-01 00:50:00,292.470,291.352,290.711,289.965,0.000,287.333,99710.222,288.542,100089.572,
2004-06-01 00:55:00,292.469,291.360,290.607,289.923,0.000,287.333,99707.861,288.589,100089.502,
2004-06-01 01:00:00,292.496,291.396,290.557,290.061,0.000,287.333,99705.500,288.663,100089.406,
2004-06-01 01:05:00,292.488,291.397,290.478,289.970,0.000,287.342,99703.931,288.633,100089.462,
2004-06-01 01:10:00,292.499,291.417,290.417,290.000,0.000,287.351,99702.361,288.577,100089.536,
2004-06-01 01:15:00,292.473,291.401,290.324,289.806,0.000,287.360,99700.792,288.497,100089.621,
2004-06-01 01:20:00,292.480,291.416,290.261,289.822,0.000,287.369,99699.222,288.444,100089.687,
2004-06-01 01:25:00,292.458,291.403,290.179,289.669,0.000,287.378,99697.653,288.383,100089.756,
2004-06-01 01:30:00,292.466,291.419,290.125,289.717,0.000,287.387,99696.083,288.343,100089.812,
2004-06-01 01:35:00,292.444,291.407,290.045,289.574,0.000,287.396,99694.514,288.289,100089.873,
2004-06-01 01:40:00,292.452,291.422,289.990,289.629,0.000,287.405,99692.944,288.255,100089.922,
2004-06-01 01:45:00,292.431,291.410,289.915,289.486,0.000,287.414,99691.375,288.205,100089.978,
2004-06-01 01:50:00,292.440,291.424,289.865,289.550,0.000,287.423,99689.806,288.174,100090.022,
2004-06-01 01:55:00,292.420,291.413,289.790,289.409,0.000,287.432,99688.236,288.128,100090.071,
2004-06-01 02:00:00,292.426,291.426,289.764,289.481,0.000,287.441,99686.667,288.103,100090.109,
2004-06-01 02:05:00,292.405,291.415,289.721,289.359,0.000,287.444,99685.875,288.088,100090.114,
2004-06-01 02:10:00,292.417,291.432,289.706,289.473,0.000,287.446,99685.083,288.103,100090.102,
