cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,289.498,288.644,292.320,295.483,0.000,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,288.354,287.586,291.092,289.779,0.000,287.334,99731.472,288.503,100089.778,
2004-06-01 00:10:00,288.384,287.597,290.970,288.840,0.000,287.334,99729.111,288.067,100090.019,
2004-06-01 00:15:00,288.347,287.565,291.090,289.036,0.000,287.334,99726.750,288.109,100089.992,
2004-06-01 00:20:00,288.341,287.562,291.239,289.380,0.000,287.334,99724.389,288.210,100089.922,
2004-06-01 00:25:00,288.293,287.515,291.119,289.350,0.000,287.334,99722.028,288.276,100089.870,
2004-06-01 00:30:00,288.277,287.499,291.025,289.476,0.000,287.334,99719.667,288.324,100089.818,
2004-06-01 00:35:00,288.216,287.436,290.879,289.324,0.000,287.333,99717.306,288.332,100089.788,
2004-06-01 00:40:00,288.200,287.418,290.773,289.411,0.000,287.333,99714.944,288.362,100089.740,
2004-06-01 00:45:00,288.145,287.360,290.657,289.289,0.000,287.333,99712.583,288.380,100089.697,
2004-06-01 00:50:00,288.136,287.347,290.581,289.417,0.000,287.333,99710.222,288.430,100089.629,
2004-06-01 00:55:00,288.087,287.294,290.467,289.322,0.000,287.333,99707.861,288.469,100089.563,
2004-06-01 01:00:00,288.087,287.291,290.416,289.478,0.000,287.333,99705.500,288.540,100089.469,
2004-06-01 01:05:00,288.037,287.241,290.328,289.337,0.000,287.342,99703.931,288.511,100089.523,
2004-06-01 01:10:00,288.025,287.226,290.271,289.413,0.000,287.351,99702.361,288.462,100089.592,
2004-06-01 01:15:00,287.962,287.163,290.170,289.180,0.000,287.360,99700.792,288.380,100089.678,
2004-06-01 01:20:00,287.948,287.146,290.109,289.237,0.000,287.369,99699.222,288.328,100089.744,
2004-06-01 01:25:00,287.886,287.086,290.019,289.025,0.000,287.378,99697.653,288.261,100089.817,
2004-06-01 01:30:00,287.875,287.071,289.969,289.114,0.000,287.387,99696.083,288.223,100089.872,
2004-06-01 01:35:00,287.814,287.011,289.880,288.910,0.000,287.396,99694.514,288.163,100089.936,
2004-06-01 01:40:00,287.804,286.997,289.831,289.015,0.000,287.405,99692.944,288.131,100089.984,
2004-06-01 01:45:00,287.744,286.938,289.747,288.806,0.000,287.414,99691.375,288.076,100090.042,
2004-06-01 01:50:00,287.735,286.925,289.703,288.925,0.000,287.423,99689.806,288.048,100090.085,
2004-06-01 01:55:00,287.676,286.866,289.620,288.712,0.000,287.432,99688.236,287.997,100090.137,
2004-06-01 02:00:00,287.672,286.862,289.597,288.845,0.000,287.441,99686.667,287.974,100090.174,
2004-06-01 02:05:00,287.619,286.812,289.543,288.645,0.000,287.444,99685.875,287.951,100090.182,
2004-06-01 02:10:00,287.622,286.813,289.533,288.821,0.000,287.446,99685.083,287.969,100090.170,
2004-06-01 02:15:00,287.571,286.767,289.480,288.626,0.000,287.448,99684.292,287.958,100090.170,
2004-06-01 02:20:00,287.578,286.772,289.470,288.817,0.000,287.450,99683.500,287.978,100090.158,
2004-06-01 02:25:00,287.527,286.725,289.430,288.605,0.000,287.453,99682.708,287.964,100090.160,
2004-06-01 02:30:00,287.537,286.734,289.436,288.803,0.000,287.455,99681.917,287.982,100090.148,
2004-06-01 02:35:00,287.485,286.687,289.394,288.580,0.000,287.457,99681.125,287.967,100090.151,
2004-06-01 02:40:00,287.498,286.698,289.402,288.789,0.000,287.460,99680.333,287.986,100090.139,
2004-06-01 02:45:00,287.445,286.651,289.370,288.557,0.000,287.462,99679.542,287.970,100090.143,
2004-06-01 02:50:00,287.461,286.665,289.390,288.776,0.000,287.464,99678.750,287.990,100090.131,
2004-06-01 02:55:00,287.408,286.618,289.357,288.536,0.000,287.466,99677.958,287.974,100090.134,
2004-06-01 03:00:00,287.425,286.634,289.355,288.767,0.000,287.469,99677.167,287.995,100090.122,
2004-06-01 03:05:00,287.372,286.586,289.306,288.526,0.000,287.468,99678.042,287.993,100090.100,
2004-06-01 03:10:00,287.394,286.606,289.314,288.783,0.000,287.467,99678.917,288.038,100090.056,
2004-06-01 03:15:00,287.341,286.558,289.265,288.543,0.000,287.466,99679.792,288.045,100090.027,
2004-06-01 03:20:00,287.366,286.581,289.274,288.816,0.000,287.465,99680.667,288.094,100089.980,
2004-06-01 03:25:00,287.313,286.533,289.223,288.563,0.000,287.464,99681.542,288.100,100089.951,
2004-06-01 03:30:00,287.340,286.559,289.233,288.845,0.000,287.463,99682.417,288.150,100089.903,
2004-06-01 03:35:00,287.286,286.510,289.180,288.581,0.000,287.462,99683.292,288.156,100089.874,
2004-06-01 03:40:00,287.316,286.538,289.191,288.873,0.000,287.462,99684.167,288.206,100089.825,
2004-06-01 03:45:00,287.261,286.489,289.138,288.602,0.000,287.461,99685.042,288.212,100089.794,
2004-06-01 03:50:00,287.293,286.519,289.152,288.904,0.000,287.460,99685.917,288.265,100089.743,
2004-06-01 03:55:00,287.238,286.469,289.098,288.625,0.000,287.459,99686.792,288.271,100089.712,
2004-06-01 04:00:00,287.272,286.500,289.098,288.936,0.000,287.458,99687.667,288.325,100089.659,
2004-06-01 04:05:00,287.210,286.444,289.023,288.610,0.000,287.467,99687.667,288.267,100089.738,
2004-06-01 04:10:00,287.236,286.469,289.016,288.862,0.000,287.476,99687.667,288.226,100089.814,
2004-06-01 04:15:00,287.167,286.406,288.936,288.492,0.000,287.486,99687.667,288.134,100089.903,
2004-06-01 04:20:00,287.191,286.429,288.927,288.736,0.000,287.495,99687.667,288.102,100089.957,
2004-06-01 04:25:00,287.123,286.368,288.842,288.389,0.000,287.504,99687.667,288.035,100090.019,
2004-06-01 04:30:00,287.149,286.392,288.828,288.660,0.000,287.513,99687.667,288.025,100090.050,
2004-06-01 04:35:00,287.082,286.332,288.744,288.321,0.000,287.523,99687.667,287.971,100090.097,
2004-06-01 04:40:00,287.109,286.357,288.732,288.604,0.000,287.532,99687.667,287.972,100090.115,
2004-06-01 04:45:00,287.042,286.296,288.642,288.263,0.000,287.541,99687.667,287.924,100090.152,
2004-06-01 04:50:00,287.070,286.322,288.626,288.553,0.000,287.550,99687.667,287.932,100090.163,
2004-06-01 04:55:00,287.002,286.261,288.536,288.211,0.000,287.559,99687.667,287.887,100090.194,
2004-06-01 05:00:00,287.036,286.296,288.546,288.505,68.636,287.569,99687.667,287.900,100090.199,
2004-06-01 05:05:00,287.008,286.275,288.509,288.414,60.338,287.585,99689.319,288.075,100090.145,
2004-06-01 05:10:00,287.040,286.308,288.522,288.695,64.763,287.600,99690.972,288.080,100090.164,
2004-06-01 05:15:00,287.025,286.300,288.493,288.653,32.200,287.616,99692.625,288.220,100090.123,
2004-06-01 05:20:00,287.093,286.369,288.538,289.135,36.226,287.632,99694.278,288.181,100090.157,
2004-06-01 05:25:00,287.021,286.309,288.494,288.583,32.084,287.648,99695.931,288.175,100090.179,
2004-06-01 05:30:00,287.076,286.369,288.565,288.817,33.853,287.664,99697.583,287.974,100090.290,
2004-06-01 05:35:00,286.955,286.265,288.479,288.001,26.638,287.680,99699.236,287.770,100090.413,
2004-06-01 05:40:00,287.000,286.315,288.537,288.178,28.220,287.695,99700.889,287.719,100090.463,
2004-06-01 05:45:00,286.953,286.280,288.535,287.911,25.911,287.711,99702.542,287.670,100090.504,
2004-06-01 05:50:00,287.004,286.337,288.618,288.209,28.511,287.727,99704.194,287.696,100090.507,
2004-06-01 05:55:00,286.959,286.303,288.610,287.918,25.952,287.743,99705.847,287.663,100090.536,
2004-06-01 06:00:00,287.012,286.363,288.690,288.189,28.497,287.759,99707.500,287.678,100090.541,
2004-06-01 06:05:00,286.964,286.327,288.695,287.872,25.757,287.805,99709.000,287.621,100090.591,
2004-06-01 06:10:00,287.005,286.399,288.789,288.111,27.801,287.850,99710.500,287.617,100090.617,
2004-06-01 06:15:00,286.962,286.364,288.796,287.821,25.154,287.896,99712.000,287.562,100090.667,
2004-06-01 06:20:00,287.017,286.430,288.893,288.077,27.516,287.942,99713.500,287.565,100090.688,
2004-06-01 06:25:00,286.976,286.397,288.910,287.796,25.040,287.988,99715.000,287.517,100090.734,
2004-06-01 06:30:00,287.049,286.480,289.066,288.060,27.299,288.033,99716.500,287.523,100090.753,
