cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,292.444,291.636,291.352,290.705,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,292.368,291.551,291.197,289.636,0.000,287.334,99729.111,288.271,100089.919,
2004-06-01 00:15:00,292.425,291.614,291.365,290.089,0.000,287.334,99726.750,288.337,100089.878,
2004-06-01 00:20:00,292.485,291.679,291.534,290.561,0.000,287.334,99724.389,288.422,100089.814,
2004-06-01 00:25:00,292.475,291.673,291.434,290.541,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,292.483,291.685,291.346,290.599,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,292.460,291.664,291.229,290.507,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,292.468,291.676,291.136,290.559,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,292.457,291.668,291.042,290.523,0.000,287.333,99712.583,288.562,100089.605,
2004-06-01 00:50:00,292.469,291.682,290.965,290.597,0.000,287.333,99710.222,288.617,100089.533,
2004-06-01 00:55:00,292.466,291.681,290.873,290.588,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,292.482,291.700,290.822,290.677,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,292.470,291.691,290.753,290.621,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,292.463,291.687,290.688,290.586,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,292.425,291.654,290.602,290.411,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,292.414,291.646,290.535,290.369,0.000,287.369,99699.222,288.514,100089.652,
2004-06-01 01:25:00,292.384,291.621,290.461,290.257,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,292.376,291.616,290.403,290.252,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,292.348,291.593,290.331,290.151,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,292.340,291.588,290.272,290.148,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,292.314,291.565,290.204,290.050,0.000,287.414,99691.375,288.271,100089.944,
2004-06-01 01:50:00,292.307,291.561,290.148,290.054,0.000,287.423,99689.806,288.236,100089.990,
