cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,290.789,291.607,292.323,295.483,0.000,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,290.258,290.979,291.129,289.943,0.000,287.334,99731.472,288.524,100089.768,
2004-06-01 00:10:00,290.213,290.958,291.005,288.996,0.000,287.334,99729.111,288.094,100090.006,
2004-06-01 00:15:00,290.274,291.004,291.142,289.280,0.000,287.334,99726.750,288.155,100089.970,
2004-06-01 00:20:00,290.361,291.080,291.308,289.715,0.000,287.334,99724.389,288.276,100089.889,
2004-06-01 00:25:00,290.389,291.101,291.201,289.732,0.000,287.334,99722.028,288.353,100089.831,
2004-06-01 00:30:00,290.437,291.141,291.112,289.854,0.000,287.334,99719.667,288.402,100089.779,
2004-06-01 00:35:00,290.436,291.135,290.973,289.718,0.000,287.333,99717.306,288.410,100089.749,
2004-06-01 00:40:00,290.475,291.167,290.870,289.794,0.000,287.333,99714.944,288.439,100089.701,
2004-06-01 00:45:00,290.480,291.167,290.763,289.709,0.000,287.333,99712.583,288.462,100089.655,
2004-06-01 00:50:00,290.521,291.203,290.689,289.832,0.000,287.333,99710.222,288.515,100089.585,
2004-06-01 00:55:00,290.532,291.209,290.584,289.780,0.000,287.333,99707.861,288.561,100089.516,
2004-06-01 01:00:00,290.573,291.245,290.535,289.925,0.000,287.333,99705.500,288.635,100089.420,
2004-06-01 01:05:00,290.576,291.243,290.456,289.825,0.000,287.342,99703.931,288.605,100089.476,
2004-06-01 01:10:00,290.600,291.263,290.397,289.867,0.000,287.351,99702.361,288.551,100089.548,
2004-06-01 01:15:00,290.586,291.242,290.303,289.666,0.000,287.360,99700.792,288.471,100089.633,
2004-06-01 01:20:00,290.605,291.257,290.242,289.691,0.000,287.369,99699.222,288.418,100089.699,
2004-06-01 01:25:00,290.593,291.238,290.159,289.528,0.000,287.378,99697.653,288.356,100089.770,
2004-06-01 01:30:00,290.612,291.254,290.107,289.586,0.000,287.387,99696.083,288.318,100089.824,
2004-06-01 01:35:00,290.601,291.236,290.026,289.432,0.000,287.396,99694.514,288.263,100089.886,
2004-06-01 01:40:00,290.619,291.252,289.974,289.499,0.000,287.405,99692.944,288.229,100089.935,
2004-06-01 01:45:00,290.608,291.234,289.898,289.344,0.000,287.414,99691.375,288.178,100089.991,
2004-06-01 01:50:00,290.627,291.250,289.850,289.420,0.000,287.423,99689.806,288.149,100090.034,
2004-06-01 01:55:00,290.615,291.232,289.775,289.267,0.000,287.432,99688.236,288.102,100090.084,
2004-06-01 02:00:00,290.631,291.244,289.750,289.353,0.000,287.441,99686.667,288.078,100090.122,
2004-06-01 02:05:00,290.618,291.225,289.705,289.216,0.000,287.444,99685.875,288.061,100090.127,
2004-06-01 02:10:00,290.638,291.242,289.691,289.343,0.000,287.446,99685.083,288.077,100090.115,
2004-06-01 02:15:00,290.627,291.224,289.649,289.222,0.000,287.448,99684.292,288.074,100090.112,
2004-06-01 02:20:00,290.648,291.242,289.635,289.353,0.000,287.450,99683.500,288.090,100090.101,
2004-06-01 02:25:00,290.635,291.222,289.606,289.216,0.000,287.453,99682.708,288.082,100090.100,
2004-06-01 02:30:00,290.655,291.240,289.607,289.347,0.000,287.455,99681.917,288.096,100090.090,
2004-06-01 02:35:00,290.641,291.220,289.577,289.205,0.000,287.457,99681.125,288.088,100090.091,
2004-06-01 02:40:00,290.662,291.238,289.578,289.341,0.000,287.460,99680.333,288.102,100090.080,
2004-06-01 02:45:00,290.647,291.217,289.559,289.196,0.000,287.462,99679.542,288.093,100090.081,
2004-06-01 02:50:00,290.668,291.236,289.572,289.337,0.000,287.464,99678.750,288.108,100090.071,
2004-06-01 02:55:00,290.653,291.214,289.552,289.189,0.000,287.466,99677.958,288.100,100090.071,
2004-06-01 03:00:00,290.673,291.233,289.543,289.335,0.000,287.469,99677.167,288.115,100090.061,
2004-06-01 03:05:00,290.657,291.210,289.507,289.193,0.000,287.468,99678.042,288.123,100090.035,
2004-06-01 03:10:00,290.680,291.232,289.507,289.364,0.000,287.467,99678.917,288.164,100089.992,
2004-06-01 03:15:00,290.666,291.212,289.473,289.233,0.000,287.466,99679.792,288.181,100089.958,
2004-06-01 03:20:00,290.690,291.235,289.474,289.411,0.000,287.465,99680.667,288.224,100089.913,
2004-06-01 03:25:00,290.675,291.214,289.438,289.272,0.000,287.464,99681.542,288.241,100089.880,
2004-06-01 03:30:00,290.699,291.237,289.439,289.450,0.000,287.463,99682.417,288.284,100089.835,
2004-06-01 03:35:00,290.684,291.216,289.402,289.308,0.000,287.462,99683.292,288.301,100089.800,
2004-06-01 03:40:00,290.709,291.240,289.404,289.489,0.000,287.462,99684.167,288.344,100089.754,
2004-06-01 03:45:00,290.694,291.219,289.368,289.347,0.000,287.461,99685.042,288.362,100089.718,
2004-06-01 03:50:00,290.719,291.244,289.372,289.532,0.000,287.460,99685.917,288.407,100089.670,
2004-06-01 03:55:00,290.704,291.223,289.335,289.389,0.000,287.459,99686.792,288.427,100089.633,
2004-06-01 04:00:00,290.730,291.248,289.325,289.577,0.000,287.458,99687.667,288.473,100089.583,
2004-06-01 04:05:00,290.707,291.220,289.267,289.383,0.000,287.467,99687.667,288.416,100089.666,
2004-06-01 04:10:00,290.721,291.233,289.246,289.481,0.000,287.476,99687.667,288.355,100089.751,
2004-06-01 04:15:00,290.690,291.194,289.180,289.233,0.000,287.486,99687.667,288.272,100089.836,
2004-06-01 04:20:00,290.702,291.205,289.160,289.340,0.000,287.495,99687.667,288.231,100089.893,
2004-06-01 04:25:00,290.673,291.170,289.091,289.135,0.000,287.504,99687.667,288.178,100089.948,
2004-06-01 04:30:00,290.687,291.183,289.066,289.275,0.000,287.513,99687.667,288.160,100089.983,
2004-06-01 04:35:00,290.659,291.148,288.998,289.077,0.000,287.523,99687.667,288.119,100090.023,
2004-06-01 04:40:00,290.672,291.161,288.973,289.221,0.000,287.532,99687.667,288.110,100090.046,
2004-06-01 04:45:00,290.643,291.125,288.900,289.021,0.000,287.541,99687.667,288.076,100090.077,
2004-06-01 04:50:00,290.656,291.138,288.871,289.167,0.000,287.550,99687.667,288.072,100090.092,
