cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.872,299.872,298.230,289.882,0.000,287.334,99731.472,288.243,100090.323,
2004-06-01 00:10:00,299.566,299.566,295.676,288.843,0.000,287.334,99729.111,287.770,100090.589,
2004-06-01 00:15:00,299.014,299.014,292.330,289.328,0.000,287.334,99726.750,287.882,100090.535,
2004-06-01 00:20:00,298.510,298.510,290.419,289.799,0.000,287.334,99724.389,288.001,100090.475,
2004-06-01 00:25:00,298.128,298.128,289.324,289.726,0.000,287.334,99722.028,288.002,100090.471,
2004-06-01 00:30:00,297.845,297.845,288.620,289.746,0.000,287.334,99719.667,288.001,100090.471,
2004-06-01 00:35:00,297.606,297.606,288.083,289.587,0.000,287.333,99717.306,287.961,100090.491,
2004-06-01 00:40:00,297.401,297.401,287.631,289.614,0.000,287.333,99714.944,287.960,100090.492,
2004-06-01 00:45:00,297.217,297.217,287.226,289.519,0.000,287.333,99712.583,287.941,100090.502,
2004-06-01 00:50:00,297.053,297.053,286.858,289.520,0.000,287.333,99710.222,287.937,100090.504,
2004-06-01 00:55:00,296.910,296.910,286.520,289.513,0.000,287.333,99707.861,287.935,100090.505,
2004-06-01 01:00:00,296.772,296.772,286.217,289.489,0.000,287.333,99705.500,287.930,100090.508,
2004-06-01 01:05:00,296.649,296.649,285.944,289.449,0.000,287.342,99703.931,287.928,100090.502,
2004-06-01 01:10:00,296.533,296.533,285.726,289.423,0.000,287.351,99702.361,287.927,100090.496,
2004-06-01 01:15:00,296.433,296.433,285.541,289.418,0.000,287.360,99700.792,287.931,100090.488,
2004-06-01 01:20:00,296.338,296.338,285.393,289.471,0.000,287.369,99699.222,287.947,100090.473,
2004-06-01 01:25:00,296.246,296.246,285.295,289.382,0.000,287.378,99697.653,287.941,100090.469,
2004-06-01 01:30:00,296.162,296.162,285.232,289.423,0.000,287.387,99696.083,287.953,100090.456,
2004-06-01 01:35:00,296.081,296.081,285.202,289.352,0.000,287.396,99694.514,287.947,100090.452,
2004-06-01 01:40:00,296.006,296.006,285.196,289.398,0.000,287.405,99692.944,287.960,100090.439,
2004-06-01 01:45:00,295.935,295.935,285.212,289.338,0.000,287.414,99691.375,287.956,100090.434,
2004-06-01 01:50:00,295.868,295.868,285.245,289.386,0.000,287.423,99689.806,287.970,100090.421,
2004-06-01 01:55:00,295.805,295.805,285.294,289.304,0.000,287.432,99688.236,287.961,100090.418,
2004-06-01 02:00:00,295.751,295.751,285.337,289.429,0.000,287.441,99686.667,287.988,100090.400,
2004-06-01 02:05:00,295.691,295.691,285.407,289.310,0.000,287.444,99685.875,287.973,100090.404,
2004-06-01 02:10:00,295.639,295.639,285.465,289.359,0.000,287.446,99685.083,287.979,100090.400,
2004-06-01 02:15:00,295.589,295.589,285.503,289.341,0.000,287.448,99684.292,287.976,100090.400,
2004-06-01 02:20:00,295.533,295.533,285.546,289.318,0.000,287.450,99683.500,287.974,100090.399,
2004-06-01 02:25:00,295.486,295.486,285.567,289.352,0.000,287.453,99682.708,287.981,100090.394,
2004-06-01 02:30:00,295.428,295.428,285.604,289.306,0.000,287.455,99681.917,287.977,100090.394,
2004-06-01 02:35:00,295.380,295.380,285.634,289.297,0.000,287.457,99681.125,287.975,100090.393,
2004-06-01 02:40:00,295.326,295.326,285.671,289.285,0.000,287.460,99680.333,287.974,100090.392,
2004-06-01 02:45:00,295.277,295.277,285.703,289.227,0.000,287.462,99679.542,287.964,100090.395,
2004-06-01 02:50:00,295.231,295.231,285.705,289.334,0.000,287.464,99678.750,287.981,100090.386,
2004-06-01 02:55:00,295.179,295.179,285.729,289.190,0.000,287.466,99677.958,287.962,100090.393,
2004-06-01 03:00:00,295.139,295.139,285.720,289.308,0.000,287.469,99677.167,287.978,100090.384,
2004-06-01 03:05:00,295.095,295.095,285.707,289.249,0.000,287.468,99678.042,287.968,100090.389,
2004-06-01 03:10:00,295.048,295.051,285.721,289.261,0.000,287.467,99678.917,287.972,100090.388,
2004-06-01 03:15:00,295.002,295.008,285.735,289.157,0.000,287.466,99679.792,287.953,100090.397,
2004-06-01 03:20:00,294.960,294.968,285.698,289.249,0.000,287.465,99680.667,287.962,100090.394,
2004-06-01 03:25:00,294.915,294.925,285.643,289.212,0.000,287.464,99681.542,287.955,100090.398,
2004-06-01 03:30:00,294.867,294.878,285.613,289.202,0.000,287.463,99682.417,287.957,100090.398,
2004-06-01 03:35:00,294.822,294.835,285.587,289.143,0.000,287.462,99683.292,287.945,100090.404,
2004-06-01 03:40:00,294.773,294.788,285.568,289.153,0.000,287.462,99684.167,287.945,100090.405,
2004-06-01 03:45:00,294.726,294.742,285.542,289.098,0.000,287.461,99685.042,287.933,100090.411,
2004-06-01 03:50:00,294.678,294.695,285.514,289.123,0.000,287.460,99685.917,287.935,100090.411,
2004-06-01 03:55:00,294.631,294.650,285.477,289.067,0.000,287.459,99686.792,287.924,100090.417,
2004-06-01 04:00:00,294.584,294.604,285.438,289.099,0.000,287.458,99687.667,287.928,100090.416,
2004-06-01 04:05:00,294.539,294.560,285.388,289.044,0.000,287.467,99687.667,287.923,100090.412,
2004-06-01 04:10:00,294.495,294.518,285.361,289.089,0.000,287.476,99687.667,287.937,100090.398,
2004-06-01 04:15:00,294.454,294.479,285.355,289.037,0.000,287.486,99687.667,287.936,100090.391,
2004-06-01 04:20:00,294.416,294.441,285.374,289.083,0.000,287.495,99687.667,287.950,100090.377,
2004-06-01 04:25:00,294.379,294.406,285.412,289.028,0.000,287.504,99687.667,287.948,100090.371,
2004-06-01 04:30:00,294.344,294.372,285.467,289.074,0.000,287.513,99687.667,287.962,100090.358,
2004-06-01 04:35:00,294.310,294.340,285.535,289.019,0.000,287.523,99687.667,287.959,100090.352,
2004-06-01 04:40:00,294.277,294.308,285.614,289.066,0.000,287.532,99687.667,287.974,100090.338,
2004-06-01 04:45:00,294.245,294.278,285.701,288.986,0.000,287.541,99687.667,287.969,100090.333,
2004-06-01 04:50:00,294.220,294.255,285.687,289.136,0.000,287.550,99687.667,287.996,100090.315,
2004-06-01 04:55:00,294.193,294.229,285.668,289.114,0.000,287.559,99687.667,288.000,100090.306,
2004-06-01 05:00:00,294.165,294.202,285.759,289.089,31.715,287.569,99687.667,288.011,100090.292,
2004-06-01 05:05:00,294.142,294.180,285.888,289.074,31.616,287.585,99689.319,288.060,100090.256,
2004-06-01 05:10:00,294.120,294.162,285.932,289.252,16.414,287.600,99690.972,288.103,100090.223,
2004-06-01 05:15:00,294.090,294.139,286.090,289.034,15.773,287.616,99692.625,288.065,100090.228,
2004-06-01 05:20:00,294.074,294.130,286.247,289.147,16.230,287.632,99694.278,288.083,100090.209,
2004-06-01 05:25:00,294.045,294.110,286.439,289.024,15.832,287.648,99695.931,288.077,100090.200,
2004-06-01 05:30:00,294.024,294.099,286.603,289.158,16.312,287.664,99697.583,288.110,100090.172,
2004-06-01 05:35:00,293.999,294.083,286.766,289.043,15.920,287.680,99699.236,288.108,100090.161,
2004-06-01 05:40:00,293.986,294.082,286.846,289.294,16.901,287.695,99700.889,288.157,100090.127,
2004-06-01 05:45:00,293.960,294.066,286.988,289.071,16.194,287.711,99702.542,288.140,100090.129,
2004-06-01 05:50:00,293.951,294.068,287.129,289.239,16.799,287.727,99704.194,288.156,100090.127,
2004-06-01 05:55:00,293.929,294.056,287.277,289.046,16.129,287.743,99705.847,288.120,100090.150,
2004-06-01 06:00:00,293.916,294.053,287.404,289.187,33.441,287.759,99707.500,288.131,100090.151,
2004-06-01 06:05:00,293.894,294.040,287.514,289.082,32.802,287.805,99709.000,288.144,100090.136,
2004-06-01 06:10:00,293.879,294.037,287.644,289.234,16.946,287.850,99710.500,288.183,100090.105,
2004-06-01 06:15:00,293.861,294.033,287.773,289.078,16.393,287.896,99712.000,288.151,100090.109,
2004-06-01 06:20:00,293.849,294.035,287.897,289.191,16.895,287.942,99713.500,288.177,100090.085,
2004-06-01 06:25:00,293.831,294.032,287.986,289.082,16.563,287.988,99715.000,288.175,100090.073,
2004-06-01 06:30:00,293.816,294.032,288.093,289.198,16.985,288.033,99716.500,288.210,100090.043,
2004-06-01 06:35:00,293.799,294.029,288.174,289.095,16.735,288.079,99718.000,288.209,100090.029,
2004-06-01 06:40:00,293.785,294.027,288.252,289.198,17.156,288.125,99719.500,288.241,100089.999,
2004-06-01 06:45:00,293.770,294.023,288.330,289.103,16.803,288.170,99721.000,288.241,100089.984,
2004-06-01 06:50:00,293.756,294.018,288.689,289.209,17.161,288.216,99722.500,288.280,100089.951,
2004-06-01 06:55:00,293.741,294.012,289.014,289.128,16.983,288.262,99724.000,288.288,100089.931,
2004-06-01 07:00:00,293.728,294.005,289.277,289.229,34.805,288.308,99725.500,288.326,100089.896,
2004-06-01 07:05:00,293.715,293.997,289.480,289.188,34.538,288.370,99729.069,288.366,100089.853,
2004-06-01 07:10:00,293.703,293.989,289.658,289.325,17.874,288.432,99732.639,288.426,100089.800,
2004-06-01 07:15:00,293.694,293.983,289.823,289.242,17.646,288.495,99736.208,288.419,100089.780,
2004-06-01 07:20:00,293.688,293.978,289.986,289.398,18.215,288.557,99739.778,288.478,100089.728,
2004-06-01 07:25:00,293.682,293.972,290.116,289.353,18.183,288.620,99743.347,288.502,100089.691,
2004-06-01 07:30:00,293.680,293.969,290.258,289.499,18.763,288.682,99746.917,288.563,100089.637,
2004-06-01 07:35:00,293.678,293.965,290.386,289.445,18.591,288.745,99750.486,288.584,100089.602,
2004-06-01 07:40:00,293.679,293.962,290.527,289.597,19.251,288.807,99754.056,288.645,100089.548,
2004-06-01 07:45:00,293.680,293.958,290.651,289.537,19.104,288.869,99757.625,288.664,100089.514,
2004-06-01 07:50:00,293.684,293.955,290.789,289.688,19.658,288.932,99761.194,288.725,100089.460,
2004-06-01 07:55:00,293.687,293.951,290.909,289.627,19.566,288.994,99764.764,288.745,100089.425,
2004-06-01 08:00:00,293.692,293.948,291.045,289.778,20.165,289.057,99768.333,288.805,100089.370,
2004-06-01 08:05:00,293.697,293.941,291.164,289.716,20.084,289.178,99768.653,288.827,100089.334,
2004-06-01 08:10:00,293.707,293.939,291.408,289.930,20.893,289.299,99768.972,288.912,100089.265,
2004-06-01 08:15:00,293.719,293.937,291.684,289.936,21.044,289.420,99769.292,288.969,100089.206,
2004-06-01 08:20:00,293.739,293.940,292.008,290.186,21.995,289.541,99769.611,289.076,100089.123,
2004-06-01 08:25:00,293.763,293.944,292.322,290.178,21.973,289.663,99769.931,289.141,100089.057,
2004-06-01 08:30:00,293.795,293.959,292.657,290.437,22.945,289.784,99770.250,289.252,100088.968,
2004-06-01 08:35:00,293.829,293.991,292.963,290.413,22.895,289.905,99770.569,289.318,100088.899,
2004-06-01 08:40:00,293.869,294.040,293.288,290.674,23.865,290.026,99770.889,289.430,100088.807,
2004-06-01 08:45:00,293.911,294.101,293.578,290.634,23.764,290.148,99771.208,289.496,100088.736,
2004-06-01 08:50:00,293.957,294.176,293.891,290.903,24.749,290.269,99771.528,289.610,100088.641,
2004-06-01 08:55:00,294.003,294.258,294.170,290.855,24.642,290.390,99771.847,289.677,100088.567,
2004-06-01 09:00:00,294.054,294.350,294.475,291.122,25.617,290.511,99772.167,289.792,100088.470,
2004-06-01 09:05:00,294.104,294.444,294.745,291.074,25.507,290.634,99772.333,289.876,100088.364,
2004-06-01 09:10:00,294.155,294.542,294.974,291.346,26.385,290.757,99772.500,290.008,100088.234,
