cur_datetime,WallshadeT,WalllitT,RoofT,oat_temp_c,ep_sensWaste_w_m2_per_footprint_area,
2004-06-01 00:05:00,291.502,290.768,290.696,15.156,0.000,
2004-06-01 00:10:00,291.487,290.697,290.596,15.068,0.000,
2004-06-01 00:15:00,291.434,290.654,290.496,14.980,0.000,
2004-06-01 00:20:00,291.386,290.610,290.396,14.891,0.000,
2004-06-01 00:25:00,291.340,290.565,290.296,14.803,0.000,
2004-06-01 00:30:00,291.293,290.524,290.194,14.714,0.000,
2004-06-01 00:35:00,291.247,290.482,290.091,14.626,0.000,
2004-06-01 00:40:00,291.202,290.443,289.989,14.538,0.000,
2004-06-01 00:45:00,291.157,290.404,289.886,14.449,0.000,
2004-06-01 00:50:00,291.113,290.367,289.782,14.361,0.000,
2004-06-01 00:55:00,291.071,290.330,289.678,14.273,0.000,
2004-06-01 01:00:00,291.029,290.296,289.574,14.184,0.000,
2004-06-01 01:05:00,291.002,290.275,289.502,14.184,0.000,
2004-06-01 01:10:00,290.978,290.256,289.434,14.184,0.000,
2004-06-01 01:15:00,290.954,290.237,289.365,14.184,0.000,
2004-06-01 01:20:00,290.933,290.223,289.295,14.184,0.000,
2004-06-01 01:25:00,290.913,290.208,289.225,14.184,0.000,
2004-06-01 01:30:00,290.896,290.196,289.167,14.184,0.000,
2004-06-01 01:35:00,290.878,290.184,289.108,14.183,0.000,
2004-06-01 01:40:00,290.864,290.174,289.049,14.183,0.000,
2004-06-01 01:45:00,290.849,290.164,288.989,14.183,0.000,
2004-06-01 01:50:00,290.837,290.156,288.938,14.183,0.000,
2004-06-01 01:55:00,290.824,290.148,288.886,14.183,0.000,
2004-06-01 02:00:00,290.814,290.142,288.833,14.183,0.000,
2004-06-01 02:05:00,290.800,290.133,288.800,14.192,0.000,
2004-06-01 02:10:00,290.787,290.124,288.775,14.201,0.000,
2004-06-01 02:15:00,290.774,290.116,288.750,14.210,0.000,
