cur_datetime,WallshadeT,WalllitT,RoofT,oat_temp_c,ep_sensWaste_w_m2_per_footprint_area,
2004-06-01 00:05:00,289.606,288.323,290.706,15.156,0.000,
2004-06-01 00:10:00,289.558,288.271,290.605,15.068,0.000,
2004-06-01 00:15:00,289.497,288.219,290.504,14.980,0.000,
2004-06-01 00:20:00,289.439,288.166,290.403,14.891,0.000,
2004-06-01 00:25:00,289.381,288.113,290.301,14.803,0.000,
2004-06-01 00:30:00,289.323,288.060,290.198,14.714,0.000,
2004-06-01 00:35:00,289.266,288.007,290.094,14.626,0.000,
2004-06-01 00:40:00,289.209,287.954,289.990,14.538,0.000,
2004-06-01 00:45:00,289.152,287.901,289.886,14.449,0.000,
2004-06-01 00:50:00,289.096,287.848,289.781,14.361,0.000,
2004-06-01 00:55:00,289.041,287.796,289.675,14.273,0.000,
2004-06-01 01:00:00,288.986,287.744,289.569,14.184,0.000,
2004-06-01 01:05:00,288.947,287.709,289.497,14.184,0.000,
2004-06-01 01:10:00,288.910,287.676,289.428,14.184,0.000,
2004-06-01 01:15:00,288.872,287.642,289.358,14.184,0.000,
2004-06-01 01:20:00,288.839,287.612,289.287,14.184,0.000,
2004-06-01 01:25:00,288.804,287.581,289.216,14.184,0.000,
2004-06-01 01:30:00,288.773,287.553,289.157,14.184,0.000,
2004-06-01 01:35:00,288.742,287.524,289.097,14.183,0.000,
2004-06-01 01:40:00,288.712,287.497,289.037,14.183,0.000,
2004-06-01 01:45:00,288.683,287.470,288.976,14.183,0.000,
2004-06-01 01:50:00,288.655,287.445,288.924,14.183,0.000,
2004-06-01 01:55:00,288.628,287.419,288.871,14.183,0.000,
2004-06-01 02:00:00,288.602,287.394,288.818,14.183,0.000,
2004-06-01 02:05:00,288.577,287.374,288.784,14.192,0.000,
2004-06-01 02:10:00,288.555,287.356,288.759,14.201,0.000,
2004-06-01 02:15:00,288.532,287.338,288.734,14.210,0.000,
2004-06-01 02:20:00,288.512,287.322,288.709,14.219,0.000,
2004-06-01 02:25:00,288.491,287.306,288.685,14.228,0.000,
2004-06-01 02:30:00,288.472,287.291,288.674,14.237,0.000,
2004-06-01 02:35:00,288.453,287.277,288.663,14.246,0.000,
2004-06-01 02:40:00,288.435,287.264,288.652,14.255,0.000,
2004-06-01 02:45:00,288.417,287.251,288.641,14.264,0.000,
2004-06-01 02:50:00,288.400,287.239,288.641,14.273,0.000,
2004-06-01 02:55:00,288.384,287.227,288.641,14.282,0.000,
2004-06-01 03:00:00,288.369,287.216,288.641,14.291,0.000,
2004-06-01 03:05:00,288.348,287.201,288.616,14.294,0.000,
2004-06-01 03:10:00,288.329,287.186,288.599,14.296,0.000,
2004-06-01 03:15:00,288.309,287.171,288.581,14.298,0.000,
2004-06-01 03:20:00,288.290,287.156,288.563,14.300,0.000,
2004-06-01 03:25:00,288.270,287.141,288.545,14.303,0.000,
2004-06-01 03:30:00,288.251,287.126,288.525,14.305,0.000,
2004-06-01 03:35:00,288.232,287.111,288.505,14.307,0.000,
2004-06-01 03:40:00,288.212,287.097,288.485,14.310,0.000,
2004-06-01 03:45:00,288.193,287.082,288.465,14.312,0.000,
2004-06-01 03:50:00,288.175,287.068,288.444,14.314,0.000,
2004-06-01 03:55:00,288.156,287.053,288.424,14.316,0.000,
2004-06-01 04:00:00,288.137,287.039,288.403,14.319,0.000,
2004-06-01 04:05:00,288.116,287.022,288.368,14.318,0.000,
2004-06-01 04:10:00,288.094,287.005,288.330,14.317,0.000,
2004-06-01 04:15:00,288.073,286.987,288.293,14.316,0.000,
2004-06-01 04:20:00,288.052,286.970,288.256,14.315,0.000,
2004-06-01 04:25:00,288.030,286.952,288.219,14.314,0.000,
2004-06-01 04:30:00,288.008,286.935,288.175,14.313,0.000,
2004-06-01 04:35:00,287.986,286.917,288.132,14.312,0.000,
2004-06-01 04:40:00,287.965,286.899,288.089,14.312,0.000,
2004-06-01 04:45:00,287.943,286.881,288.045,14.311,0.000,
2004-06-01 04:50:00,287.921,286.863,287.998,14.310,0.000,
2004-06-01 04:55:00,287.899,286.845,287.950,14.309,0.000,
2004-06-01 05:00:00,287.877,286.827,287.902,14.308,0.000,
2004-06-01 05:05:00,287.860,286.817,287.881,14.317,27.907,
2004-06-01 05:10:00,287.844,286.807,287.859,14.326,24.926,
2004-06-01 05:15:00,287.827,286.798,287.837,14.336,25.087,
2004-06-01 05:20:00,287.812,286.790,287.816,14.345,25.249,
2004-06-01 05:25:00,287.797,286.783,287.795,14.354,25.412,
2004-06-01 05:30:00,286.800,287.806,287.824,14.363,25.575,
2004-06-01 05:35:00,286.816,287.814,287.852,14.373,25.738,
2004-06-01 05:40:00,286.840,287.828,287.881,14.382,25.903,
2004-06-01 05:45:00,286.863,287.843,287.909,14.391,26.067,
2004-06-01 05:50:00,286.891,287.862,287.961,14.400,26.233,
