cur_datetime,WallshadeT,WalllitT,RoofT,canTemp_K,rh_%,vcwg_canPress_Pa,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,300.000,300.000,300.000,295.483,58.803,100225.130,68.060,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,299.873,299.873,298.230,290.809,78.671,100231.517,10.346,287.334,99731.472,288.757,100089.666,
2004-06-01 00:10:00,299.574,299.574,295.590,289.644,84.447,100232.178,0.479,287.334,99729.111,288.283,100089.913,
2004-06-01 00:15:00,299.045,299.045,292.277,290.070,82.336,100232.031,0.479,287.334,99726.750,288.335,100089.879,
2004-06-01 00:20:00,298.568,298.568,290.446,290.542,80.175,100231.833,3.953,287.334,99724.389,288.419,100089.816,
2004-06-01 00:25:00,298.204,298.204,289.380,290.547,80.343,100231.776,3.114,287.334,99722.028,288.456,100089.778,
2004-06-01 00:30:00,297.937,297.937,288.687,290.605,80.218,100231.717,2.975,287.334,99719.667,288.483,100089.737,
2004-06-01 00:35:00,297.720,297.720,288.173,290.513,80.826,100231.703,1.175,287.333,99717.306,288.496,100089.705,
2004-06-01 00:40:00,297.537,297.537,287.736,290.552,80.781,100231.638,0.954,287.333,99714.944,288.529,100089.655,
2004-06-01 00:45:00,297.376,297.376,287.344,290.518,81.126,100231.584,0.479,287.333,99712.583,288.563,100089.605,
2004-06-01 00:50:00,297.234,297.234,286.984,290.590,80.970,100231.484,0.479,287.333,99710.222,288.617,100089.534,
2004-06-01 00:55:00,297.108,297.108,286.655,290.587,81.212,100231.394,0.239,287.333,99707.861,288.672,100089.460,
2004-06-01 01:00:00,296.996,296.996,286.352,290.673,81.055,100231.260,0.239,287.333,99705.500,288.747,100089.363,
2004-06-01 01:05:00,296.895,296.895,286.070,290.621,81.384,100231.331,0.239,287.342,99703.931,288.720,100089.419,
2004-06-01 01:10:00,296.806,296.806,285.834,290.581,81.491,100231.437,0.239,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,296.721,296.721,285.648,290.412,82.153,100231.584,0.239,287.360,99700.792,288.574,100089.582,
2004-06-01 01:20:00,296.639,296.639,285.508,290.365,82.164,100231.683,0.239,287.369,99699.222,288.514,100089.651,
2004-06-01 01:25:00,296.554,296.554,285.413,290.258,82.814,100231.790,0.239,287.378,99697.653,288.455,100089.720,
2004-06-01 01:30:00,296.472,296.472,285.355,290.247,82.873,100231.863,0.239,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,296.393,296.393,285.331,290.152,83.277,100231.958,0.239,287.396,99694.514,288.359,100089.838,
2004-06-01 01:40:00,296.318,296.318,285.334,290.144,83.170,100232.023,0.239,287.405,99692.944,288.319,100089.890,
2004-06-01 01:45:00,296.246,296.246,285.361,290.052,83.478,100232.109,0.239,287.414,99691.375,288.272,100089.944,
2004-06-01 01:50:00,296.178,296.178,285.409,290.050,83.310,100232.167,0.239,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,296.112,296.112,285.473,289.962,83.595,100232.245,0.060,287.432,99688.236,288.194,100090.038,
2004-06-01 02:00:00,296.049,296.049,285.553,289.967,83.401,100232.294,0.060,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,295.988,295.988,285.645,289.902,83.651,100232.313,0.060,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,295.928,295.928,285.726,289.949,83.370,100232.291,0.060,287.446,99685.083,288.162,100090.072,
2004-06-01 02:15:00,295.870,295.870,285.795,289.906,83.582,100232.292,0.060,287.448,99684.292,288.166,100090.066,
