# Database Output
# UBC University of British Columbia
# JUNE 22 2015 14:35
#
# Time indicated in PST (GMT-8)
# Times indicate end of averaging period
#
# BSPA Basel - Spalenring         610360/267140 278m
#
# 00 BSPADTA1 Basel - Spalenring : Air Temperature  3.00m [degC]
# 01 BSPADTA2 Basel - Spalenring : Air Temperature  15.80m [degC]
# 02 BSPADTA3 Basel - Spalenring : Air Temperature  3.00m [degC]
# 03 BSPADTA4 Basel - Spalenring : Air Temperature  15.80m [degC]
# 04 BSPADTA5 Basel - Spalenring : Air Temperature  22.90m [degC]
# 05 BSPADTA6 Basel - Spalenring : Air Temperature  27.80m [degC]
# 06 BSPADTA7 Basel - Spalenring : Air Temperature  32.90m [degC]
#
                ,      BSPADTA1,      BSPADTA2,      BSPADTA3,      BSPADTA4,      BSPADTA5,      BSPADTA6,      BSPADTA7
10.06.2002 00:10,         13.80,         13.68,         13.61,         13.65,         13.80,         13.67,         13.51
10.06.2002 00:20,         13.67,         13.71,         13.62,         13.72,         13.82,         13.67,         13.54
10.06.2002 00:30,         13.73,         13.76,         13.55,         13.61,         13.74,         13.68,         13.57
10.06.2002 00:40,         13.80,         13.75,         13.46,         13.61,         13.91,         13.75,         13.59
10.06.2002 00:50,         13.72,         13.67,         13.43,         13.55,         13.81,         13.65,         13.48
10.06.2002 01:00,         13.69,         13.58,         13.41,         13.54,         13.74,         13.53,         12.79
10.06.2002 01:10,         13.63,         13.56,         13.37,         13.50,         13.77,         13.50,         12.73
10.06.2002 01:20,         13.57,         13.52,         13.33,         13.46,         13.77,         13.47,         12.68
10.06.2002 01:30,         13.57,         13.51,         13.27,         13.40,         13.73,         13.45,         12.64
10.06.2002 01:40,         13.63,         13.52,         13.27,         13.45,         13.71,         13.50,         12.61
10.06.2002 01:50,         13.46,         13.58,         13.34,         13.52,         13.65,         13.49,         12.69
10.06.2002 02:00,         13.40,         13.48,         13.38,         13.56,         13.53,         13.42,         12.57
10.06.2002 02:10,         13.64,         13.57,         13.30,         13.48,         13.75,         13.52,         12.48
10.06.2002 02:20,         13.56,         13.53,         13.22,         13.40,         13.70,         12.98,         12.34
10.06.2002 02:30,         13.51,         13.48,         13.11,         13.35,         13.66,         12.47,         12.28
10.06.2002 02:40,         13.45,         13.44,         12.97,         13.27,         13.61,         12.44,         12.27
10.06.2002 02:50,         13.40,         13.41,         12.94,         13.24,         13.62,         12.44,         12.29
10.06.2002 03:00,         13.37,         13.35,         12.86,         13.16,         13.53,         12.43,         12.27
10.06.2002 03:10,         13.36,         13.31,         12.92,         13.13,         13.49,         12.37,         12.38
10.06.2002 03:20,         13.33,         13.33,         12.90,         13.09,         13.42,         12.34,         12.46
10.06.2002 03:30,         13.24,         13.28,         12.75,         13.01,         13.39,         12.68,         12.90
10.06.2002 03:40,         13.14,         13.13,         12.62,         12.92,         13.31,         13.14,         12.81
10.06.2002 03:50,         13.09,         13.05,         12.55,         12.83,         13.18,         13.07,         12.68
10.06.2002 04:00,         12.99,         12.94,         12.39,         12.72,         13.10,         12.93,         12.56
10.06.2002 04:10,         12.99,         12.92,         12.38,         12.61,         12.95,         12.87,         12.51
10.06.2002 04:20,         13.00,         12.88,         12.35,         12.66,         12.99,         12.87,         12.52
10.06.2002 04:30,         12.92,         12.83,         12.26,         12.59,         12.94,         12.80,         12.47
10.06.2002 04:40,         12.87,         12.72,         12.36,         12.60,         12.90,         12.69,         12.41
10.06.2002 04:50,         12.71,         12.58,         12.35,         12.53,         12.74,         12.56,         12.35
10.06.2002 05:00,         12.65,         12.46,         12.27,         12.38,         12.53,         12.38,         12.31
10.06.2002 05:10,         12.30,         12.12,         12.08,         12.12,         12.22,         11.97,         11.82
10.06.2002 05:20,         12.09,         11.98,         11.87,         11.95,         12.13,         11.82,         11.68
10.06.2002 05:30,         12.12,         11.99,         11.90,         11.98,         12.16,         11.84,         11.70
10.06.2002 05:40,         12.14,         12.01,         11.92,         12.03,         12.20,         11.86,         11.83
10.06.2002 05:50,         12.19,         12.05,         11.95,         12.10,         12.26,         11.96,         11.88
10.06.2002 06:00,         12.26,         12.12,         11.98,         12.15,         12.31,         12.06,         11.96
10.06.2002 06:10,         12.36,         12.19,         12.09,         12.24,         12.44,         12.12,         12.02
10.06.2002 06:20,         12.48,         12.31,         12.20,         12.36,         12.64,         12.19,         12.07
10.06.2002 06:30,         12.48,         12.34,         12.36,         12.50,         12.68,         12.27,         12.14
10.06.2002 06:40,         12.51,         12.31,         12.31,         12.40,         12.55,         12.24,         12.12
10.06.2002 06:50,         12.16,         11.97,         12.19,         12.21,         12.27,         11.83,         11.71
10.06.2002 07:00,         11.89,         11.70,         12.04,         11.99,         11.99,         11.52,         11.40
10.06.2002 07:10,         11.97,         11.80,         12.09,         12.14,         12.10,         11.70,         11.57
10.06.2002 07:20,         11.91,         11.71,         12.01,         12.08,         12.05,         11.62,         11.48
10.06.2002 07:30,         11.90,         11.70,         11.94,         11.96,         12.04,         11.57,         11.44
10.06.2002 07:40,         12.03,         11.84,         12.13,         12.11,         12.19,         11.69,         11.55
10.06.2002 07:50,         12.32,         12.13,         12.58,         12.52,         12.54,         11.99,         11.86
10.06.2002 08:00,         12.46,         12.27,         12.65,         12.64,         12.64,         12.13,         11.97
10.06.2002 08:10,         12.52,         12.33,         12.68,         12.75,         12.76,         12.22,         12.05
10.06.2002 08:20,         12.61,         12.43,         12.86,         12.89,         12.86,         12.34,         12.18
10.06.2002 08:30,         12.88,         12.79,         13.19,         13.27,         13.30,         12.64,         12.44
10.06.2002 08:40,         12.99,         12.81,         13.35,         13.39,         13.45,         12.67,         12.51
10.06.2002 08:50,         12.94,         12.73,         13.02,         13.11,         13.24,         12.63,         12.50
10.06.2002 09:00,         13.10,         12.90,         13.19,         13.29,         13.32,         12.81,         12.60
10.06.2002 09:10,         13.09,         12.84,         12.95,         13.12,         13.21,         12.75,         12.58
10.06.2002 09:20,         13.01,         12.83,         13.27,         13.35,         13.32,         12.70,         12.53
10.06.2002 09:30,         13.36,         13.13,         13.65,         13.54,         13.58,         12.96,         12.77
