,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,VCWG_Pres_Profile_Pa,VCWG_Direct,VCWG_Real_P0,VCWG_Real_EPW,Bypass_Pres_Profile_Pa,Bypass_Direct,Bypass_Real_P0,Bypass_RealEPW
6/1/2004 0:00,15.674,14.176,99744,100097.4741,20.24344445,20.32520702,20.54043222,100097.4741,20.24344445,20.32520702,20.54043222
6/1/2004 0:05,15.704,14.13,99740,100101.5207,15.66390637,15.74773286,15.95960109,100101.6216,15.43226808,15.5161106,15.72780896
6/1/2004 0:10,15.738,14.148,99738,100101.7879,15.16389951,15.2478011,15.45930269,100101.8778,14.98160541,15.06552795,15.27689587
6/1/2004 0:15,15.67,14.12,99734,100101.7517,15.22098627,15.30487463,15.51641807,100101.8329,15.06067877,15.14458738,15.35601327
6/1/2004 0:20,15.64,14.126,99732,100101.6848,15.30951752,15.39337645,15.6049848,100101.7417,15.20113133,15.28500565,15.49653453
6/1/2004 0:25,15.688,14.174,99734,100101.6453,15.34666271,15.43049989,15.64213547,100101.6786,15.28497496,15.36882161,15.58041195
6/1/2004 0:30,15.698,14.204,99734,100101.6033,15.37247192,15.45628195,15.66793643,100101.6256,15.32990892,15.41372495,15.62534822
6/1/2004 0:35,15.652,14.23,99734,100101.5709,15.3839804,15.46776707,15.67942998,100101.5966,15.33234891,15.41614181,15.62776685
6/1/2004 0:40,15.64,14.242,99730,100101.5201,15.4154202,15.49917408,15.71086002,100101.5486,15.35888408,15.44264509,15.65428957
6/1/2004 0:45,15.622,14.244,99730,100101.4679,15.44864346,15.53236392,15.74407419,100101.502,15.38095963,15.4646886,15.67634925
6/1/2004 0:50,15.61,14.226,99728,100101.3946,15.50308393,15.58675974,15.79850991,100101.4304,15.43286685,15.51655185,15.72825054
6/1/2004 0:55,15.598,14.19,99728,100101.3183,15.55721439,15.64084295,15.85263278,100101.3585,15.47812144,15.56176023,15.77349207
6/1/2004 1:00,15.618,14.178,99730,100101.2189,15.63155686,15.71512493,15.93857463,100101.2605,15.55055733,15.63413622,15.85752327
6/1/2004 1:05,15.534,14.194,99718,100101.2755,15.6055354,15.68914259,15.9125722,100101.3182,15.51996811,15.6035858,15.82694922
6/1/2004 1:10,15.446,14.192,99716,100101.3555,15.54079756,15.62445207,15.84783163,100101.3946,15.46299473,15.54665892,15.76997831
6/1/2004 1:15,15.412,14.194,99710,100101.4449,15.45748487,15.54118895,15.76450411,100101.483,15.38137833,15.46509173,15.68834802
6/1/2004 1:20,15.388,14.174,99712,100101.5168,15.39731923,15.48106513,15.70433378,100101.5519,15.32759899,15.41135365,15.63456838
6/1/2004 1:25,15.404,14.154,99708,100101.5882,15.33784087,15.42162839,15.64485106,100101.6242,15.26591978,15.34971609,15.57288313
6/1/2004 1:30,15.408,14.17,99706,100101.6477,15.2933559,15.37717952,15.60036781,100101.6815,15.22630082,15.31013285,15.53326928
6/1/2004 1:35,15.4,14.152,99702,100101.71,15.24203373,15.32589385,15.54904247,100101.7452,15.17178002,15.25564872,15.478743
6/1/2004 1:40,15.502,14.15,99694,100101.7634,15.2019821,15.28587453,15.50899219,100101.7965,15.13653511,15.22043577,15.44350281
6/1/2004 1:45,15.504,14.176,99690,100101.8195,15.15490685,15.23883179,15.46191306,100101.8542,15.08567538,15.16960877,15.3926365
6/1/2004 1:50,15.526,14.204,99684,100101.867,15.11935997,15.20331373,15.42636752,100101.8996,15.05500545,15.13896732,15.36197134
6/1/2004 1:55,15.494,14.258,99696,100101.9168,15.07713212,15.16111461,15.38413577,100101.9513,15.0084801,15.09247096,15.31543902
6/1/2004 2:00,15.518,14.288,99704,100101.9588,15.04587037,15.12987834,15.37439009,100101.991,14.98248717,15.06650315,15.31096115
6/1/2004 2:05,15.516,14.276,99692,100101.9617,15.03436986,15.11837684,15.36287883,100101.9959,14.96664989,15.05066528,15.29510984
6/1/2004 2:10,15.532,14.28,99690,100101.9517,15.04479311,15.12879493,15.37330577,100101.9839,14.9817878,15.06579778,15.31025518
6/1/2004 2:15,15.506,14.34,99690,100101.9458,15.04770067,15.13169843,15.37621172,100101.9803,14.97925459,15.06326088,15.30771613
6/1/2004 2:20,15.522,14.372,99686,100101.9369,15.05723729,15.14123051,15.38575189,100101.9693,14.99385791,15.07785933,15.32232696
6/1/2004 2:25,15.488,14.33,99690,100101.9339,15.05504899,15.13903916,15.38355868,100101.9686,14.98648983,15.07048852,15.3149499
6/1/2004 2:30,15.422,14.322,99692,100101.9269,15.0617599,15.14574622,15.39027144,100101.9589,14.99923406,15.08322849,15.32770067
6/1/2004 2:35,15.504,14.324,99684,100101.9246,15.05879675,15.14278033,15.38730303,100101.9586,14.99151661,15.07550857,15.31997421
6/1/2004 2:40,15.348,14.302,99686,100101.9176,15.06585934,15.14983924,15.39436792,100101.9489,15.00463792,15.08862575,15.33310251
6/1/2004 2:45,15.274,14.242,99678,100101.9154,15.06308307,15.14706028,15.39158661,100101.9488,14.99675316,15.08073861,15.32520868
6/1/2004 2:50,15.232,14.22,99678,100101.9084,15.07038305,15.15435665,15.39888916,100101.939,15.01063897,15.09462034,15.33910219
6/1/2004 2:55,15.248,14.2,99670,100101.9062,15.06756788,15.15153885,15.39606898,100101.9388,15.00304551,15.0870245,15.33149991
6/1/2004 3:00,15.266,14.224,99678,100101.8993,15.07497861,15.15894605,15.4250066,100101.9289,15.017196,15.10117096,15.3671782
6/1/2004 3:05,15.258,14.234,99676,100101.8686,15.09012855,15.17407509,15.44014961,100101.9012,15.0256428,15.10959743,15.37561244
6/1/2004 3:10,15.228,14.264,99676,100101.8269,15.12474604,15.20866833,15.47477476,100101.8576,15.06488147,15.14881164,15.41486284
6/1/2004 3:15,15.226,14.328,99676,100101.7883,15.15118431,15.23508248,15.50121329,100101.8223,15.08391598,15.16782263,15.43389138
6/1/2004 3:20,15.172,14.346,99676,100101.7451,15.18734736,15.27122048,15.53738464,100101.777,15.12517073,15.20905207,15.47515886
6/1/2004 3:25,15.146,14.36,99676,100101.7067,15.21193744,15.29578608,15.56197291,100101.7418,15.14266338,15.22652077,15.49264368
6/1/2004 3:30,15.166,14.354,99678,100101.6632,15.24732358,15.33114663,15.5973661,100101.696,15.18338944,15.26722096,15.53338143
6/1/2004 3:35,15.204,14.362,99676,100101.6238,15.27244433,15.35624218,15.62248481,100101.6598,15.20119054,15.2849974,15.55117428
6/1/2004 3:40,15.07,14.358,99676,100101.5787,15.30917651,15.39294792,15.65922441,100101.6126,15.24317032,15.32695046,15.59316606
6/1/2004 3:45,15.068,14.346,99678,100101.5378,15.33566518,15.41941049,15.68571141,100101.575,15.26208536,15.34583998,15.61207301
6/1/2004 3:50,15.096,14.342,99672,100101.4912,15.37381076,15.45752872,15.72386481,100101.5262,15.30547749,15.3892045,15.65547754
6/1/2004 3:55,15.186,14.306,99688,100101.4487,15.4014827,15.48517367,15.75153527,100101.4872,15.32543879,15.40913941,15.67543085
6/1/2004 4:00,15.216,14.28,99690,100101.4004,15.44135503,15.52501771,15.78146835,100101.4369,15.37005069,15.45372282,15.71011012
6/1/2004 4:05,15.254,14.264,99692,100101.4847,15.39021952,15.47393695,15.73034221,100101.5226,15.31363365,15.39736003,15.65369727
6/1/2004 4:10,15.33,14.246,99694,100101.5784,15.31658241,15.40035569,15.65669558,100101.6116,15.25011495,15.33389633,15.59017718
6/1/2004 4:15,15.298,14.25,99690,100101.665,15.23579382,15.31961498,15.57588314,100101.6995,15.16622538,15.25005476,15.50626113
6/1/2004 4:20,15.272,14.264,99682,100101.7281,15.18563526,15.2694939,15.52571754,100101.759,15.12450542,15.20837172,15.46454106
6/1/2004 4:25,15.262,14.256,99684,100101.7827,15.13867405,15.222564,15.47874595,100101.8158,15.07228951,15.15618742,15.4123104
6/1/2004 4:30,15.268,14.276,99688,100101.8227,15.11141837,15.19533328,15.45149104,100101.8523,15.05297327,15.1368956,15.39300144
6/1/2004 4:35,15.222,14.314,99678,100101.8615,15.07675144,15.16068824,15.41681522,100101.8934,15.01300593,15.09695042,15.35302078
6/1/2004 4:40,15.182,14.34,99688,100101.8899,15.05711865,15.14107318,15.39718274,100101.9179,15.0023269,15.08628846,15.34234935
6/1/2004 4:45,15.168,14.366,99688,100101.9197,15.0279762,15.11194676,15.36803045,100101.9497,14.96819367,15.05217149,15.30820207
6/1/2004 4:50,15.156,14.406,99688,100101.9403,15.01376593,15.09774932,15.35382039,100101.9662,14.96303797,15.04702792,15.30305393
6/1/2004 4:55,15.042,14.434,99690,100101.9633,14.98935937,15.07335461,15.329404,100101.9917,14.93284007,15.01684217,15.27284136
6/1/2004 5:00,15.006,14.458,99684,100101.9758,14.98419089,15.06819492,15.32920554,100102.0024,14.93206892,15.01607959,15.27704301
6/1/2004 5:05,15.038,14.486,99684,100102.0282,14.94248606,15.02652103,15.28749391,100101.8034,15.42082663,15.50481573,15.76622175
6/1/2004 5:10,15.016,14.466,99682,100102.0741,14.90847799,14.9925408,15.2534829,100101.8098,15.43370198,15.51770015,15.77911784
6/1/2004 5:15,14.988,14.422,99688,100102.1193,14.86584031,14.94992792,15.21083144,100101.9217,15.24883307,15.33286962,15.59411993
6/1/2004 5:20,14.908,14.386,99690,100102.1505,14.84486782,14.92897496,15.1898595,100102.0843,14.96553037,15.04961827,15.31061206
6/1/2004 5:25,14.868,14.378,99690,100102.1881,14.81252982,14.89665845,15.15751372,100102.15,14.88944423,14.97356396,15.23448888
6/1/2004 5:30,14.77,14.388,99692,100102.2202,14.79143678,14.87558566,15.13642185,100102.1612,14.91454674,14.99868309,15.25963076
6/1/2004 5:35,14.842,14.396,99684,100102.2598,14.74519617,14.82936412,15.09015846,100102.1854,14.89538435,14.97953503,15.24046536
6/1/2004 5:40,14.862,14.386,99686,100102.2868,14.72691461,14.81109948,15.07187727,100102.215,14.86888788,14.95305511,15.21396146
6/1/2004 5:45,14.91,14.408,99692,100102.3311,14.67048471,14.75468954,15.01541624,100102.2601,14.8095282,14.89371524,15.15456785
6/1/2004 5:50,14.87,14.416,99688,100102.3482,14.67033609,14.75455486,15.01528145,100102.2838,14.79571548,14.87991798,15.1407581
6/1/2004 5:55,14.902,14.434,99692,100102.383,14.62802783,14.71226284,14.97295113,100102.3164,14.75808097,14.84229928,15.10310532
6/1/2004 6:00,14.934,14.438,99690,100102.3782,14.66608637,14.75032864,15.00609107,100102.3249,14.76937968,14.85360829,15.10946247
6/1/2004 6:05,14.914,14.466,99694,100102.4288,14.60889225,14.69315934,14.94887099,100102.2958,14.87354338,14.95777855,15.21372527
6/1/2004 6:10,14.874,14.502,99698,100102.4403,14.63506291,14.71934718,14.97508209,100102.3843,14.73817047,14.82243887,15.07826536
6/1/2004 6:15,14.912,14.492,99700,100102.4832,14.594677,14.67898469,14.93468374,100102.4438,14.67301084,14.75730908,15.01307771
6/1/2004 6:20,14.916,14.484,99708,100102.4817,14.6461599,14.73048145,14.98622625,100102.4548,14.70063479,14.78495013,15.04074332
6/1/2004 6:25,14.914,14.522,99712,100102.5232,14.60545285,14.68979658,14.94550524,100102.4996,14.65335327,14.73769163,14.99344284
6/1/2004 6:30,14.91,14.572,99716,100102.525,14.6477547,14.73211235,14.9878586,100102.5177,14.66319187,14.74754798,15.00330794
6/1/2004 6:35,14.928,14.612,99714,100102.5674,14.60431655,14.68869634,14.94440402,100102.5603,14.62202128,14.70640041,14.96212382
6/1/2004 6:40,14.928,14.72,99714,100102.5707,14.64386189,14.72825599,14.98399881,100102.5737,14.64113943,14.72553513,14.98127554
6/1/2004 6:45,14.988,14.77,99716,100102.6146,14.59650761,14.6809239,14.93662468,100102.6155,14.59955829,14.68397621,14.9396797
6/1/2004 6:50,15.068,14.826,99712,100102.618,14.63559288,14.72002342,14.97575893,100102.6285,14.61835574,14.7027899,14.9585101
6/1/2004 6:55,15.13,14.902,99716,100102.6625,14.58611676,14.67056939,14.92626097,100102.6689,14.57905208,14.6635079,14.9191932
6/1/2004 7:00,15.164,14.916,99706,100102.6662,14.62409197,14.70855876,14.95106034,100102.6829,14.59489424,14.67936622,14.92184321
6/1/2004 7:05,15.248,14.968,99710,100102.6998,14.5799189,14.66440034,14.90686472,100102.628,14.73286988,14.81733716,15.05993038
6/1/2004 7:10,15.316,14.986,99724,100102.6801,14.64576571,14.73025032,14.97277018,100102.6031,14.79880022,14.88326637,15.12591513
6/1/2004 7:15,15.396,15.048,99720,100102.6954,14.63181748,14.7163106,14.95881871,100102.7091,14.60146253,14.68595799,14.92844053
6/1/2004 7:20,15.464,15.092,99724,100102.6668,14.71025415,14.79474678,15.03732097,100102.7052,14.64056379,14.7250675,14.96758299
6/1/2004 7:25,15.53,15.16,99724,100102.6778,14.69990688,14.78440549,15.02697097,100102.6944,14.67934169,14.76384792,15.00639607
6/1/2004 7:30,15.59,15.172,99730,100102.6469,14.77996484,14.86446152,15.10709444,100102.662,14.75677175,14.84127403,15.08388741
6/1/2004 7:35,15.69,15.212,99734,100102.6559,14.77046988,14.85497114,15.09759606,100102.6573,14.77494172,14.85944545,15.10207414
6/1/2004 7:40,15.73,15.212,99730,100102.6231,14.85158836,14.93608651,15.17877977,100102.6301,14.84285133,14.9273526,15.1700385
6/1/2004 7:45,15.776,15.306,99738,100102.6291,14.84522391,14.92972511,15.17241301,100102.622,14.86773575,14.95223766,15.19494452
