Date,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,Bypass_Direct,Bypass_Real_P0,Bypass_RealEPW,, TempProf_cur[19],DrWangBypass_C
6/1/2004 0:00,15.674,14.176,99744,20.24344445,20.32520702,20.54043222,,293.272,20.122
6/1/2004 0:05,15.704,14.13,99740,15.43403991,15.5178823,15.72958196,,288.68,15.53
6/1/2004 0:10,15.738,14.148,99738,14.98458508,15.06850728,15.27987739,,288.272,15.122
6/1/2004 0:15,15.67,14.12,99734,15.06597521,15.14988321,15.36131299,,288.337,15.187
6/1/2004 0:20,15.64,14.126,99732,15.20875151,15.29262495,15.50415941,,288.422,15.272
6/1/2004 0:25,15.688,14.174,99734,15.2934361,15.3772817,15.58887824,,288.447,15.297
6/1/2004 0:30,15.698,14.204,99734,15.33781985,15.42163484,15.63326391,,288.474,15.324
6/1/2004 0:35,15.652,14.23,99734,15.33981364,15.42360557,15.63523609,,288.488,15.338
6/1/2004 0:40,15.64,14.242,99730,15.36622127,15.44998134,15.6616312,,288.526,15.376
6/1/2004 0:45,15.622,14.244,99730,15.38860546,15.47233347,15.68399972,,288.562,15.412
6/1/2004 0:50,15.61,14.226,99728,15.4406709,15.5243549,15.7360593,,288.617,15.467
6/1/2004 0:55,15.598,14.19,99728,15.48622309,15.56986083,15.78159861,,288.671,15.521
6/1/2004 1:00,15.618,14.178,99730,15.55869203,15.64226983,15.86566318,,288.746,15.596
6/1/2004 1:05,15.534,14.194,99718,15.52793356,15.61155028,15.83491987,,288.719,15.569
6/1/2004 1:10,15.446,14.192,99716,15.47057671,15.55423999,15.77756524,,288.655,15.505
6/1/2004 1:15,15.412,14.194,99710,15.38912175,15.47283424,15.69609652,,288.573,15.423
6/1/2004 1:20,15.388,14.174,99712,15.33541466,15.41916838,15.64238915,,288.514,15.364
6/1/2004 1:25,15.404,14.154,99708,15.27403,15.35782534,15.58099866,,288.454,15.304
6/1/2004 1:30,15.408,14.17,99706,15.2343883,15.31821936,15.54136204,,288.41,15.26
6/1/2004 1:35,15.4,14.152,99702,15.18015365,15.26402134,15.4871221,,288.358,15.208
6/1/2004 1:40,15.502,14.15,99694,15.14480881,15.22870847,15.45178191,,288.318,15.168
6/1/2004 1:45,15.504,14.176,99690,15.09416806,15.17810043,15.40113472,,288.271,15.121
6/1/2004 1:50,15.526,14.204,99684,15.06336624,15.14732709,15.37033758,,288.236,15.086
6/1/2004 1:55,15.494,14.258,99696,15.01711848,15.10110831,15.32408304,,288.194,15.044
6/1/2004 2:00,15.518,14.288,99704,14.99099883,15.07501377,15.31947899,,288.163,15.013
6/1/2004 2:05,15.516,14.276,99692,14.97554182,15.05955612,15.30400823,,288.152,15.002
6/1/2004 2:10,15.532,14.28,99690,14.99064935,15.07465822,15.31912314,,288.163,15.013
6/1/2004 2:15,15.506,14.34,99690,14.98845099,15.07245614,15.31691919,,288.165,15.015
6/1/2004 2:20,15.522,14.372,99686,15.00280132,15.08680161,15.33127683,,288.175,15.025
6/1/2004 2:25,15.488,14.33,99690,14.99568072,15.07967829,15.32414746,,288.173,15.023
6/1/2004 2:30,15.422,14.322,99692,15.00820262,15.09219593,15.33667572,,288.18,15.03
6/1/2004 2:35,15.504,14.324,99684,15.00079739,15.08478821,15.32926172,,288.177,15.027
6/1/2004 2:40,15.348,14.302,99686,15.01370739,15.09769409,15.34217855,,288.184,15.034
6/1/2004 2:45,15.274,14.242,99678,15.00614667,15.09013097,15.33460901,,288.182,15.032
6/1/2004 2:50,15.232,14.22,99678,15.01980316,15.10378339,15.34827301,,288.189,15.039
6/1/2004 2:55,15.248,14.2,99670,15.01254141,15.09651923,15.34100269,,288.186,15.036
