,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,Bypass_Direct,Bypass_Real_P0,Bypass_RealEPW
2004-06-01 00:00:00,15.674,14.175999999999998,99744.0,20.243444446668036,20.32520702182444,20.540432215349654
2004-06-01 00:05:00,15.704,14.13,99740.0,15.432268082185146,15.51611060377337,15.727808962041365
2004-06-01 00:10:00,15.738,14.148,99738.0,14.981605414218848,15.065527950035971,15.276895865607173
2004-06-01 00:15:00,15.669999999999998,14.12,99734.0,15.060678768878347,15.144587377483901,15.356013272673692
2004-06-01 00:20:00,15.64,14.126,99732.0,15.201131325315714,15.285005654858708,15.496534528256518
2004-06-01 00:25:00,15.688,14.174,99734.0,15.284974958155033,15.368821612310683,15.580411953611929
2004-06-01 00:30:00,15.698,14.204,99734.0,15.329908917575949,15.41372494519942,15.62534821714786
2004-06-01 00:35:00,15.652,14.23,99734.0,15.332348912866905,15.416141805002042,15.627766849397062
2004-06-01 00:40:00,15.64,14.242,99730.0,15.358884084272916,15.442645090540509,15.654289571585082
2004-06-01 00:45:00,15.622,14.244,99730.0,15.380959629306915,15.464688602024523,15.676349249065026
2004-06-01 00:50:00,15.61,14.226,99728.0,15.43286684939494,15.516551853470787,15.72825053533694
2004-06-01 00:55:00,15.598,14.19,99728.0,15.47812144143461,15.561760233591883,15.773492069816996
2004-06-01 01:00:00,15.618,14.178,99730.0,15.55055732770802,15.634136215449985,15.857523272481046
2004-06-01 01:05:00,15.534,14.194,99718.0,15.519968108125909,15.603585795288097,15.826949220243876
2004-06-01 01:10:00,15.446000000000002,14.191999999999998,99716.0,15.462994727205796,15.5466589207536,15.769978310302406
2004-06-01 01:15:00,15.412,14.194,99710.0,15.381378325396497,15.465091728001994,15.688348021788727
2004-06-01 01:20:00,15.388,14.174,99712.0,15.327598987938643,15.411353650975798,15.63456837602871
2004-06-01 01:25:00,15.404,14.154,99708.0,15.265919780042736,15.349716086460774,15.572883132183733
2004-06-01 01:30:00,15.408,14.169999999999998,99706.0,15.226300815979926,15.310132850751415,15.533269277124361
2004-06-01 01:35:00,15.4,14.152,99702.0,15.17178002443444,15.255648723729848,15.478743004267074
2004-06-01 01:40:00,15.502,14.15,99694.0,15.136535108161297,15.220435765358218,15.443502807144512
2004-06-01 01:45:00,15.504,14.175999999999998,99690.0,15.085675383626835,15.169608771255241,15.39263649615674
