Date,Temperature_C,Humidity_%
2004-01-01 00:00:04,1.69,82.06
2004-01-01 00:12:04,1.56,82.31
2004-01-01 00:24:04,1.5,82.81
2004-01-01 00:36:04,1.38,83.06
2004-01-01 00:48:04,1.38,83.25
2004-01-01 01:00:04,1.38,83.69
2004-01-01 01:12:04,1.38,84.13
2004-01-01 01:24:04,1.31,84.56
2004-01-01 01:36:04,1.38,84.56
2004-01-01 01:48:04,1.31,84.69
2004-01-01 02:00:04,1.25,84.69
2004-01-01 02:12:04,1.19,84.94
2004-01-01 02:24:04,1.19,84.5
2004-01-01 02:36:04,1.19,84.44
2004-01-01 02:48:04,1.06,84.88
2004-01-01 03:00:04,0.94,85.44
2004-01-01 03:12:04,1.0,85.5
2004-01-01 03:24:04,0.88,85.81
2004-01-01 03:36:04,0.88,86.13
2004-01-01 03:48:04,0.81,86.06
2004-01-01 04:00:04,0.81,86.19
2004-01-01 04:12:04,0.75,86.38
2004-01-01 04:24:04,0.81,86.38
2004-01-01 04:36:04,0.81,86.25
2004-01-01 04:48:04,0.69,86.63
2004-01-01 05:00:04,0.63,86.94
2004-01-01 05:12:04,0.44,87.31
2004-01-01 05:24:04,0.5,87.56
2004-01-01 05:36:04,0.56,87.5
2004-01-01 05:48:04,0.63,87.19
2004-01-01 06:00:04,0.5,87.81
2004-01-01 06:12:04,0.44,88.31
2004-01-01 06:24:04,0.5,88.56
2004-01-01 06:36:04,0.5,88.44
2004-01-01 06:48:04,0.5,88.38
2004-01-01 07:00:04,0.44,88.44
2004-01-01 07:12:04,0.5,88.88
2004-01-01 07:24:04,0.56,89.0
2004-01-01 07:36:04,0.63,88.75
2004-01-01 07:48:04,0.81,88.13
2004-01-01 08:00:04,0.88,87.44
2004-01-01 08:12:04,0.88,87.44
2004-01-01 08:24:04,1.0,86.88
2004-01-01 08:36:04,1.06,86.56
2004-01-01 08:48:04,1.13,86.56
2004-01-01 09:00:04,1.06,86.75
2004-01-01 09:12:04,1.0,87.13
2004-01-01 09:24:04,1.13,86.56
2004-01-01 09:36:04,1.25,86.0
2004-01-01 09:48:04,1.38,85.38
2004-01-01 10:00:04,1.31,85.69
2004-01-01 10:12:04,1.19,86.13
2004-01-01 10:24:04,1.31,85.44
2004-01-01 10:36:04,1.25,85.75
2004-01-01 10:48:04,1.25,85.94
2004-01-01 11:00:04,1.38,85.31
2004-01-01 11:12:04,1.5,84.38
2004-01-01 11:24:04,1.63,84.0
2004-01-01 11:36:04,1.81,82.63
2004-01-01 11:48:04,1.94,81.88
2004-01-01 12:00:04,1.94,82.56
2004-01-01 12:12:04,2.0,83.38
2004-01-01 12:24:04,1.88,85.13
2004-01-01 12:36:04,1.94,85.38
2004-01-01 12:48:04,1.94,84.63
2004-01-01 13:00:04,1.94,85.13
2004-01-01 13:12:04,2.19,86.06
2004-01-01 13:24:04,2.25,85.0
2004-01-01 13:36:04,2.25,85.81
2004-01-01 13:48:04,2.31,85.0
2004-01-01 14:00:04,2.5,85.69
2004-01-01 14:12:04,2.63,84.88
2004-01-01 14:24:04,2.63,84.69
2004-01-01 14:36:04,2.56,86.75
2004-01-01 14:48:04,2.38,88.75
2004-01-01 15:00:04,2.38,89.0
2004-01-01 15:12:04,2.25,89.56
2004-01-01 15:24:04,2.19,89.31
2004-01-01 15:36:04,2.25,90.31
2004-01-01 15:48:04,2.19,90.94
2004-01-01 16:00:04,2.19,92.31
2004-01-01 16:12:04,2.25,93.06
2004-01-01 16:24:04,2.25,93.31
2004-01-01 16:36:04,2.25,93.44
2004-01-01 16:48:04,2.19,93.25
2004-01-01 17:00:04,2.31,93.63
2004-01-01 17:12:04,2.38,94.06
2004-01-01 17:24:04,2.56,94.31
2004-01-01 17:36:04,2.75,94.31
2004-01-01 17:48:04,3.19,94.56
2004-01-01 18:00:04,3.44,94.31
2004-01-01 18:12:04,3.75,94.25
2004-01-01 18:24:04,5.19,94.44
2004-01-01 18:36:04,7.0,86.69
2004-01-01 18:48:04,7.13,85.88
2004-01-01 19:00:04,6.94,86.88
2004-01-01 19:12:04,7.0,84.5
2004-01-01 19:24:04,6.88,81.38
2004-01-01 19:36:04,6.88,80.13
2004-01-01 19:48:04,6.63,80.13
2004-01-01 20:00:04,6.56,81.69
2004-01-01 20:12:04,6.5,83.56
2004-01-01 20:24:04,6.44,83.69
2004-01-01 20:36:04,6.69,82.06
2004-01-01 20:48:04,6.63,82.5
2004-01-01 21:00:04,6.69,82.31
2004-01-01 21:12:04,6.75,82.19
2004-01-01 21:24:04,6.88,82.31
2004-01-01 21:36:04,6.81,82.63
2004-01-01 21:48:04,6.63,83.25
2004-01-01 22:00:04,6.5,83.13
2004-01-01 22:12:04,6.5,82.63
2004-01-01 22:24:04,6.5,83.75
2004-01-01 22:36:04,6.44,85.69
2004-01-01 22:48:04,6.31,87.75
2004-01-01 23:00:04,6.25,88.25
2004-01-01 23:12:04,6.38,86.06
2004-01-01 23:24:04,6.38,85.94
2004-01-01 23:36:04,6.31,86.69
2004-01-01 23:48:04,6.25,87.25
2004-02-01 00:00:04,6.38,86.5
2004-02-01 00:12:04,6.56,85.0
2004-02-01 00:24:04,6.56,84.56
2004-02-01 00:36:04,6.63,83.81
2004-02-01 00:48:04,6.5,83.88
2004-02-01 01:00:04,6.5,83.81
2004-02-01 01:12:04,6.44,83.31
2004-02-01 01:24:04,6.31,83.25
2004-02-01 01:36:04,6.31,83.19
2004-02-01 01:48:04,6.31,82.25
2004-02-01 02:00:04,6.31,82.06
2004-02-01 02:12:04,6.25,81.69
2004-02-01 02:24:04,6.19,81.94
2004-02-01 02:36:04,6.13,82.63
2004-02-01 02:48:04,5.94,83.25
2004-02-01 03:00:04,5.69,83.25
2004-02-01 03:12:04,5.5,83.81
2004-02-01 03:24:04,5.5,83.5
2004-02-01 03:36:04,5.5,82.81
2004-02-01 03:48:04,5.56,83.0
2004-02-01 04:00:04,5.63,82.69
2004-02-01 04:12:04,5.69,82.94
2004-02-01 04:24:04,5.75,82.13
2004-02-01 04:36:04,5.56,83.38
2004-02-01 04:48:04,5.44,84.44
2004-02-01 05:00:04,5.5,84.13
2004-02-01 05:12:04,5.5,83.94
2004-02-01 05:24:04,5.44,84.13
2004-02-01 05:36:04,5.5,83.63
2004-02-01 05:48:04,5.69,82.69
2004-02-01 06:00:04,5.75,82.81
2004-02-01 06:12:04,5.75,83.0
2004-02-01 06:24:04,6.0,80.06
2004-02-01 06:36:04,5.81,83.0
2004-02-01 06:48:04,5.81,82.06
2004-02-01 07:00:04,5.88,82.38
2004-02-01 07:12:04,5.88,82.31
2004-02-01 07:24:04,5.94,82.13
2004-02-01 07:36:04,5.94,82.56
2004-02-01 07:48:04,5.81,83.06
2004-02-01 08:00:04,5.75,83.38
2004-02-01 08:12:04,5.81,83.31
2004-02-01 08:24:04,5.81,83.44
2004-02-01 08:36:04,5.75,83.63
2004-02-01 08:48:04,5.81,83.81
2004-02-01 09:00:04,5.88,83.56
2004-02-01 09:12:04,6.0,83.0
2004-02-01 09:24:04,6.06,81.56
2004-02-01 09:36:04,6.13,81.13
2004-02-01 09:48:04,6.25,79.63
2004-02-01 10:00:04,6.25,79.63
2004-02-01 10:12:04,6.25,81.0
2004-02-01 10:24:04,6.38,80.69
2004-02-01 10:36:04,6.5,79.13
2004-02-01 10:48:04,6.56,78.56
2004-02-01 11:00:04,6.69,77.69
2004-02-01 11:12:04,6.88,76.5
2004-02-01 11:24:04,6.88,75.44
2004-02-01 11:36:04,7.13,73.06
2004-02-01 11:48:04,7.19,72.69
2004-02-01 12:00:04,7.38,71.94
2004-02-01 12:12:04,7.5,70.81
2004-02-01 12:24:04,7.5,69.88
2004-02-01 12:36:04,7.69,70.94
2004-02-01 12:48:04,7.63,70.56
2004-02-01 13:00:04,7.81,69.13
2004-02-01 13:12:04,7.75,70.75
2004-02-01 13:24:04,7.69,70.75
2004-02-01 13:36:04,7.75,69.13
2004-02-01 13:48:04,7.75,69.38
2004-02-01 14:00:04,7.88,68.81
2004-02-01 14:12:04,7.81,68.0
2004-02-01 14:24:04,7.69,71.19
2004-02-01 14:36:04,7.25,75.69
2004-02-01 14:48:04,7.44,72.88
2004-02-01 15:00:04,7.44,72.94
2004-02-01 15:12:04,7.63,70.0
2004-02-01 15:24:04,7.5,69.88
2004-02-01 15:36:04,7.44,70.94
2004-02-01 15:48:04,7.38,71.25
2004-02-01 16:00:04,7.25,72.31
2004-02-01 16:12:04,7.25,72.75
2004-02-01 16:24:04,7.0,72.56
2004-02-01 16:36:04,6.69,74.63
2004-02-01 16:48:04,6.75,75.56
2004-02-01 17:00:04,6.69,77.44
2004-02-01 17:12:04,6.63,78.38
2004-02-01 17:24:04,6.69,77.13
2004-02-01 17:36:04,6.63,78.0
2004-02-01 17:48:04,6.63,76.44
2004-02-01 18:00:04,6.63,75.56
2004-02-01 18:12:04,6.69,75.44
2004-02-01 18:24:04,6.69,74.5
2004-02-01 18:36:04,6.69,73.94
2004-02-01 18:48:04,6.63,74.63
2004-02-01 19:00:04,6.38,76.94
2004-02-01 19:12:04,6.25,78.19
2004-02-01 19:24:04,6.19,78.69
2004-02-01 19:36:04,6.13,78.69
2004-02-01 19:48:04,6.13,78.44
2004-02-01 20:00:04,6.06,78.44
2004-02-01 20:12:04,6.0,78.31
2004-02-01 20:24:04,6.06,78.25
2004-02-01 20:36:04,6.06,78.63
2004-02-01 20:48:04,6.06,78.63
2004-02-01 21:00:04,6.13,78.44
2004-02-01 21:12:04,6.06,78.19
2004-02-01 21:24:04,6.06,79.06
2004-02-01 21:36:04,5.94,79.06
2004-02-01 21:48:04,5.94,79.25
2004-02-01 22:00:04,5.81,80.19
2004-02-01 22:12:04,5.81,80.13
2004-02-01 22:24:04,5.69,80.69
2004-02-01 22:36:04,5.69,80.13
2004-02-01 22:48:04,5.63,79.63
2004-02-01 23:00:04,5.63,79.44
2004-02-01 23:12:04,5.5,81.56
2004-02-01 23:24:04,5.06,80.56
2004-02-01 23:36:04,4.75,81.25
2004-02-01 23:48:04,4.88,82.0
2004-03-01 00:00:04,5.13,80.38
2004-03-01 00:12:04,5.06,81.44
2004-03-01 00:24:04,5.06,80.0
2004-03-01 00:36:04,5.13,79.88
2004-03-01 00:48:04,5.0,79.94
2004-03-01 01:00:04,5.0,79.31
2004-03-01 01:12:04,4.88,78.31
2004-03-01 01:24:04,4.75,76.75
2004-03-01 01:36:04,4.56,74.0
2004-03-01 01:48:04,4.38,71.38
2004-03-01 02:00:04,4.13,68.25
2004-03-01 02:12:04,3.88,70.06
2004-03-01 02:24:04,3.63,70.38
2004-03-01 02:36:04,3.44,72.75
2004-03-01 02:48:04,3.19,73.94
2004-03-01 03:00:04,3.06,74.13
2004-03-01 03:12:04,3.0,73.81
2004-03-01 03:24:04,2.94,74.94
