#Times in EST 
#0:Year 	 1:Month 	 2:Day 	 3:Hour 	 4:Min 	                 5:U (m s-1) 	 6:V (m s-1) 	 7:S (m s-1) 	 8:WD (deg) 	 9:W (m s-1) 	 10:Theta (K) 	                 11:u2 (m2 s-2) 	 12:v2 (m2 s-2) 	 13:w2 (m2 s-2) 	 14:k (m2 s-2) 	 15:theta2 (K2) 	                 16:uv (m2 s-2) 	 17:uw (m2 s-2) 	 18:vw (m2 s-2) 	 19:utheta (Km s-1) 	 20:vtheta (Km s-1) 	 21:wtheta (Km s-1) 	                 22:uuu (m3 s-3) 	 23:uvv (m3 s-3) 	 24:uww (m3 s-3) 	 25:vuu (m3 s-3) 	 26:vvv (m3 s-3) 	 27:vww (m3 s-3) 	 28:wuu (m3 s-3) 	 29:wvv (m3 s-3) 	 30:www 	                 31:uStar (m s-1) 	 32:L 	 (m) 33:zeta 	 34:WD (deg) 	 35:kappaMaxSWSSsmooth (m-1) 	 36:maxSSsmooth (m3 s-2) 	 37:epsilon (m2 s-3) 
2018 	 7 	 13 	 16 	 15 	                     -0.800317 	 -0.867762 	 1.180474 	 42.684640 	 -0.097464 	 303.195510 	                     1.027851 	 2.450810 	 0.487864 	 1.983262 	 0.452954 	                     0.167121 	 0.209862 	 -0.081192 	 0.155916 	 0.181512 	 0.189788 	                     -0.621717 	 -0.426916 	 -0.152217 	 0.242943 	 0.515578 	 0.029900 	 -0.247101 	 -0.052274 	 -0.004742 	                     0.474363 	 -42.396969 	 -0.153313 	 42.684640 	 25.119689 	 0.000604 	 0.121591 
2018 	 7 	 13 	 16 	 45 	                     -1.117168 	 -1.813599 	 2.130072 	 31.632867 	 -0.127613 	 302.811389 	                     0.967605 	 2.056061 	 0.491108 	 1.757387 	 0.349195 	                     0.309777 	 0.225670 	 -0.066992 	 0.165071 	 0.239864 	 0.156061 	                     -0.140944 	 -0.194150 	 -0.105791 	 0.430082 	 0.846842 	 -0.017944 	 -0.142950 	 0.009675 	 0.039140 	                     0.485185 	 -55.099326 	 -0.117969 	 31.632867 	 18.512974 	 0.000761 	 0.080180 
2018 	 7 	 13 	 17 	 15 	                     -0.702139 	 -0.839635 	 1.094525 	 39.903804 	 -0.043767 	 303.156200 	                     0.814065 	 1.378273 	 0.420070 	 1.306204 	 0.319862 	                     0.118953 	 0.170337 	 -0.109783 	 0.073524 	 0.039493 	 0.139085 	                     -0.306917 	 -0.038278 	 -0.128815 	 0.263086 	 0.382807 	 0.058728 	 -0.166034 	 0.109961 	 -0.006746 	                     0.450166 	 -49.437107 	 -0.131480 	 39.903804 	 30.581227 	 0.000334 	 0.081836 
2018 	 7 	 13 	 17 	 45 	                     -0.718877 	 -0.242678 	 0.758734 	 71.346362 	 -0.087524 	 302.695362 	                     0.866465 	 1.055940 	 0.310862 	 1.116633 	 0.189877 	                     -0.029089 	 0.192248 	 -0.084953 	 0.093166 	 -0.016200 	 0.101857 	                     -0.673500 	 -0.053706 	 -0.108081 	 0.123950 	 0.679446 	 0.003892 	 -0.231783 	 0.019798 	 -0.011312 	                     0.458456 	 -71.196017 	 -0.091297 	 71.346362 	 42.229242 	 0.000196 	 0.082471 
2018 	 7 	 13 	 18 	 15 	                     -0.585866 	 -0.210679 	 0.622595 	 70.221260 	 -0.048600 	 302.084579 	                     0.730135 	 0.893442 	 0.268467 	 0.946022 	 0.137051 	                     -0.067632 	 0.154330 	 -0.027656 	 0.071271 	 -0.021857 	 0.081400 	                     -0.446388 	 -0.115106 	 -0.099095 	 0.162865 	 0.304594 	 0.031695 	 -0.187125 	 0.008323 	 -0.023145 	                     0.395965 	 -57.282014 	 -0.113474 	 70.221260 	 44.600712 	 0.000168 	 0.075170 
2018 	 7 	 13 	 18 	 45 	                     -0.728175 	 -0.683836 	 0.998934 	 46.798564 	 -0.083163 	 301.473895 	                     0.824186 	 0.943011 	 0.329453 	 1.048325 	 0.120428 	                     -0.075846 	 0.190875 	 -0.107376 	 0.036630 	 0.054904 	 0.052040 	                     -0.648209 	 -0.100427 	 -0.120593 	 0.183103 	 -0.092239 	 0.011453 	 -0.251846 	 0.001976 	 -0.044175 	                     0.467979 	 -147.617287 	 -0.044033 	 46.798564 	 35.209397 	 0.000228 	 0.065653 
2018 	 7 	 13 	 19 	 15 	                     -0.564001 	 -0.157077 	 0.585466 	 74.437240 	 -0.066884 	 300.707425 	                     0.516795 	 0.630421 	 0.193098 	 0.670157 	 0.055859 	                     -0.047555 	 0.112517 	 -0.058836 	 0.004319 	 -0.005393 	 0.016411 	                     -0.242479 	 -0.003845 	 -0.048357 	 0.057423 	 0.072563 	 0.002318 	 -0.090220 	 0.025815 	 -0.009610 	                     0.356330 	 -206.113076 	 -0.031536 	 74.437240 	 50.881318 	 0.000084 	 0.036539 
2018 	 7 	 13 	 19 	 45 	                     -0.376988 	 -0.036978 	 0.378797 	 84.397963 	 0.001764 	 299.971426 	                     0.200328 	 0.261845 	 0.079325 	 0.270749 	 0.052231 	                     -0.018442 	 0.045416 	 -0.017541 	 0.009492 	 0.007886 	 0.002328 	                     -0.089898 	 -0.034034 	 -0.019318 	 0.015627 	 0.006104 	 0.003900 	 -0.029385 	 -0.006795 	 -0.007141 	                     0.220649 	 -344.141975 	 -0.018888 	 84.397963 	 16.366038 	 0.000319 	 0.015988 
2018 	 7 	 13 	 20 	 15 	                     -0.318268 	 -0.192925 	 0.372175 	 58.776925 	 0.022913 	 299.361217 	                     0.169267 	 0.256590 	 0.068698 	 0.247277 	 0.023176 	                     -0.020979 	 0.026925 	 -0.019053 	 -0.000627 	 0.023849 	 -0.006915 	                     -0.037464 	 -0.034406 	 -0.011615 	 0.018639 	 0.022719 	 0.000974 	 -0.011172 	 0.002046 	 -0.001912 	                     0.181618 	 64.484048 	 0.100800 	 58.776925 	 12.596098 	 0.000501 	 0.016386 
2018 	 7 	 13 	 20 	 45 	                     -0.292754 	 -0.360859 	 0.464676 	 39.051310 	 -0.001841 	 298.847257 	                     0.104652 	 0.146603 	 0.051617 	 0.151436 	 0.054096 	                     -0.005474 	 0.020302 	 -0.017687 	 0.006876 	 0.001837 	 -0.004326 	                     -0.023829 	 -0.003441 	 -0.006670 	 0.008745 	 0.039157 	 -0.000701 	 -0.010240 	 0.003864 	 -0.000136 	                     0.164092 	 75.891378 	 0.085649 	 39.051310 	 13.762019 	 0.000218 	 0.005844 
