"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 00:00","2018","09","01","00:00","12.0","","11.7","","98","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 01:00","2018","09","01","01:00","12.4","","12.2","","98","","","M","9","","6","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 02:00","2018","09","01","02:00","11.4","","11.2","","99","","","M","13","","1","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 03:00","2018","09","01","03:00","11.3","","11.2","","99","","","M","7","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 04:00","2018","09","01","04:00","11.2","","11.0","","99","","","M","6","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 05:00","2018","09","01","05:00","10.9","","10.8","","99","","","M","5","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 06:00","2018","09","01","06:00","10.9","","10.8","","99","","","M","0","","1","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 07:00","2018","09","01","07:00","13.9","","13.7","","99","","","M","0","","1","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 08:00","2018","09","01","08:00","18.1","","18.0","","99","","","M","16","","6","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 09:00","2018","09","01","09:00","19.8","","19.6","","99","","","M","19","","7","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 10:00","2018","09","01","10:00","21.3","","20.8","","97","","","M","20","","9","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 11:00","2018","09","01","11:00","24.8","","20.9","","79","","","M","19","","11","","","","","M","33","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 12:00","2018","09","01","12:00","26.5","","21.0","","72","","","M","21","","11","","","","","M","35","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 13:00","2018","09","01","13:00","26.9","","21.1","","71","","","M","19","","14","","","","","M","35","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 14:00","2018","09","01","14:00","28.6","","20.5","","62","","","M","20","","12","","","","","M","37","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 15:00","2018","09","01","15:00","28.4","","19.9","","60","","","M","20","","10","","","","","M","36","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 16:00","2018","09","01","16:00","28.1","","20.3","","63","","","M","19","","12","","","","","M","36","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 17:00","2018","09","01","17:00","27.3","","20.0","","64","","","M","19","","10","","","","","M","35","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 18:00","2018","09","01","18:00","26.5","","19.5","","65","","","M","22","","12","","","","","M","34","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 19:00","2018","09","01","19:00","24.8","","19.0","","70","","","M","19","","4","","","","","M","32","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 20:00","2018","09","01","20:00","22.1","","19.7","","86","","","M","17","","5","","","","","M","29","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 21:00","2018","09","01","21:00","23.7","","20.5","","82","","","M","16","","11","","","","","M","32","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 22:00","2018","09","01","22:00","22.7","","20.3","","86","","","M","18","","8","","","","","M","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-01 23:00","2018","09","01","23:00","21.9","","20.2","","90","","","M","20","","5","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-09-02 00:00","2018","09","02","00:00","21.5","","20.3","","93","","","M","18","","6","","","","","M","29","","","","NA"
