"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 00:00","2018","08","01","00:00","19.5","","18.3","","93","","","M","9","","6","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 01:00","2018","08","01","01:00","19.6","","18.8","","95","","","M","9","","7","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 02:00","2018","08","01","02:00","19.9","","19.2","","96","","","M","9","","6","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 03:00","2018","08","01","03:00","20.3","","19.3","","94","","","M","14","","8","","","","","M","27","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 04:00","2018","08","01","04:00","20.6","","19.3","","93","","","M","15","","8","","","","","M","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 05:00","2018","08","01","05:00","20.6","","19.4","","93","","","M","14","","8","","","","","M","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 06:00","2018","08","01","06:00","21.0","","19.6","","92","","","M","17","","10","","","","","M","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 07:00","2018","08","01","07:00","21.5","","19.9","","90","","","M","17","","11","","","","","M","29","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 08:00","2018","08","01","08:00","22.0","","20.0","","89","","","M","18","","13","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 09:00","2018","08","01","09:00","22.4","","19.6","","84","","","M","19","","13","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 10:00","2018","08","01","10:00","22.9","","20.1","","84","","","M","18","","10","","","","","M","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 11:00","2018","08","01","11:00","23.0","","19.7","","82","","","M","20","","12","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 12:00","2018","08","01","12:00","24.1","","18.2","","70","","","M","20","","18","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 13:00","2018","08","01","13:00","23.6","","18.8","","75","","","M","21","","15","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 14:00","2018","08","01","14:00","24.6","","18.7","","70","","","M","24","","14","","","","","M","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 15:00","2018","08","01","15:00","24.7","","18.8","","69","","","M","24","","15","","","","","M","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 16:00","2018","08","01","16:00","22.7","","19.5","","82","","","M","25","","8","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-08-01 17:00","2018","08","01","17:00","22.0","","18.9","","83","","","M","26","","12","","","","","M","29","","","","NA"
