"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 00:00","2008","02","01","00:00","2.4","","1.0","","90","","","","9","","11","","12.9","","100.39","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 01:00","2008","02","01","01:00","2.1","","0.9","","92","","","","9","","19","","12.9","","100.44","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 02:00","2008","02","01","02:00","2.1","","0.9","","92","","","","9","","19","","16.1","","100.49","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 03:00","2008","02","01","03:00","2.0","","0.8","","92","","","","10","","17","","19.3","","100.55","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 04:00","2008","02","01","04:00","1.9","","0.7","","92","","","","10","","17","","19.3","","100.60","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 05:00","2008","02","01","05:00","2.0","","0.8","","92","","","","11","","15","","12.9","","100.67","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 06:00","2008","02","01","06:00","1.8","","0.5","","91","","","","9","","11","","12.9","","100.72","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 07:00","2008","02","01","07:00","1.7","","0.5","","92","","","","11","","7","","12.9","","100.79","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 08:00","2008","02","01","08:00","2.0","","0.6","","90","","","","13","","7","","12.9","","100.89","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 09:00","2008","02","01","09:00","2.6","","1.2","","90","","","","10","","6","","24.1","","100.95","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 10:00","2008","02","01","10:00","4.0","","2.0","","87","","","","13","","4","","24.1","","101.01","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 11:00","2008","02","01","11:00","4.8","","2.0","","82","","","","18","","6","","24.1","","101.08","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 12:00","2008","02","01","12:00","5.3","","2.4","","82","","","","22","","7","","24.1","","101.07","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 13:00","2008","02","01","13:00","5.6","","3.1","","84","","","","23","","9","","24.1","","101.08","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 14:00","2008","02","01","14:00","6.9","","2.0","","71","","","","1","","6","","24.1","","101.08","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 15:00","2008","02","01","15:00","6.6","","2.0","","72","","","","21","","4","","24.1","","101.08","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 16:00","2008","02","01","16:00","6.1","","2.2","","76","","","","10","","4","","24.1","","101.11","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 17:00","2008","02","01","17:00","5.4","","1.9","","78","","","","7","","7","","24.1","","101.13","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 18:00","2008","02","01","18:00","3.5","","1.4","","86","","","","36","","6","","24.1","","101.12","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 19:00","2008","02","01","19:00","4.4","","0.4","","75","","","","4","","7","","24.1","","101.15","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 20:00","2008","02","01","20:00","2.8","","1.0","","88","","","","14","","4","","24.1","","101.16","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 21:00","2008","02","01","21:00","2.2","","0.6","","89","","","","11","","6","","24.1","","101.18","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 22:00","2008","02","01","22:00","0.8","","-0.8","","89","","","","10","","7","","24.1","","101.20","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-01 23:00","2008","02","01","23:00","0.6","","-0.9","","90","","","","9","","11","","24.1","","101.19","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 00:00","2008","02","02","00:00","1.0","","-0.2","","92","","","","9","","11","","24.1","","101.17","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 01:00","2008","02","02","01:00","0.2","","-1.2","","90","","","","9","","11","","24.1","","101.12","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 02:00","2008","02","02","02:00","0.8","","-0.7","","90","","","","9","","15","","24.1","","101.08","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 03:00","2008","02","02","03:00","1.4","","-0.2","","89","","","","9","","17","","24.1","","101.05","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 04:00","2008","02","02","04:00","2.1","","1.1","","93","","","","11","","17","","24.1","","100.99","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 05:00","2008","02","02","05:00","1.6","","0.6","","93","","","","11","","17","","19.3","","100.95","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 06:00","2008","02","02","06:00","1.1","","0.0","","92","","","","10","","13","","19.3","","100.88","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 07:00","2008","02","02","07:00","1.0","","-0.2","","92","","","","10","","15","","19.3","","100.83","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 08:00","2008","02","02","08:00","0.8","","-0.3","","92","","","","9","","17","","16.1","","100.77","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 09:00","2008","02","02","09:00","1.0","","-0.2","","92","","","","9","","15","","19.3","","100.69","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 10:00","2008","02","02","10:00","2.3","","0.9","","90","","","","8","","17","","24.1","","100.60","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 11:00","2008","02","02","11:00","3.4","","1.6","","88","","","","8","","17","","24.1","","100.50","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 12:00","2008","02","02","12:00","4.0","","0.5","","78","","","","6","","11","","24.1","","100.38","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 13:00","2008","02","02","13:00","5.5","","-1.0","","63","","","","19","","6","","32.2","","100.27","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 14:00","2008","02","02","14:00","5.1","","0.8","","74","","","","30","","15","","32.2","","100.16","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 15:00","2008","02","02","15:00","4.5","","0.6","","76","","","","31","","17","","32.2","","100.05","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 16:00","2008","02","02","16:00","4.0","","0.2","","76","","","","31","","15","","32.2","","99.98","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 17:00","2008","02","02","17:00","3.2","","-0.7","","76","","","","34","","7","","48.3","","99.90","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 18:00","2008","02","02","18:00","3.0","","0.0","","81","","","","32","","24","","32.2","","99.85","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 19:00","2008","02","02","19:00","3.0","","-0.9","","76","","","","32","","22","","32.2","","99.81","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 20:00","2008","02","02","20:00","2.9","","-1.6","","72","","","","32","","24","","32.2","","99.82","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 21:00","2008","02","02","21:00","2.8","","-1.9","","71","","","","32","","24","","32.2","","99.82","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 22:00","2008","02","02","22:00","2.6","","-1.8","","73","","","","32","","20","","32.2","","99.85","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-02 23:00","2008","02","02","23:00","2.2","","-2.4","","72","","","","33","","24","","32.2","","99.85","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 00:00","2008","02","03","00:00","2.4","","-2.9","","68","","","","33","","22","","32.2","","99.85","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 01:00","2008","02","03","01:00","2.2","","-3.3","","67","","","","33","","22","","32.2","","99.89","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 02:00","2008","02","03","02:00","1.9","","-3.3","","68","","","","33","","20","","32.2","","99.92","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 03:00","2008","02","03","03:00","1.8","","-3.9","","66","","","","32","","26","","32.2","","99.97","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 04:00","2008","02","03","04:00","1.8","","-3.7","","67","","","","34","","24","","32.2","","100.03","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 05:00","2008","02","03","05:00","1.9","","-2.8","","71","","","","32","","26","","32.2","","100.10","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 06:00","2008","02","03","06:00","1.9","","-2.0","","75","","","","32","","22","","32.2","","100.18","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 07:00","2008","02","03","07:00","1.5","","-4.0","","67","","","","32","","28","","24.1","","100.26","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 08:00","2008","02","03","08:00","1.7","","-3.3","","69","","","","32","","24","","32.2","","100.36","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 09:00","2008","02","03","09:00","2.2","","-3.5","","66","","","","32","","13","","48.3","","100.48","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 10:00","2008","02","03","10:00","2.8","","-3.8","","62","","","","29","","20","","48.3","","100.57","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 11:00","2008","02","03","11:00","3.3","","-3.5","","61","","","","31","","19","","48.3","","100.67","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 12:00","2008","02","03","12:00","3.6","","-2.7","","63","","","","31","","17","","48.3","","100.73","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 13:00","2008","02","03","13:00","3.5","","-2.4","","65","","","","30","","17","","48.3","","100.78","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 14:00","2008","02","03","14:00","4.2","","-1.4","","67","","","","30","","19","","48.3","","100.82","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 15:00","2008","02","03","15:00","4.1","","-2.1","","64","","","","31","","17","","48.3","","100.88","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 16:00","2008","02","03","16:00","3.7","","-1.8","","67","","","","31","","19","","48.3","","100.98","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 17:00","2008","02","03","17:00","2.3","","-2.1","","73","","","","31","","13","","48.3","","101.07","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 18:00","2008","02","03","18:00","0.7","","-3.1","","76","","","","30","","17","","48.3","","101.16","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 19:00","2008","02","03","19:00","0.4","","-2.4","","81","","","","30","","15","","48.3","","101.24","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 20:00","2008","02","03","20:00","0.7","","-2.5","","79","","","","30","","15","","32.2","","101.33","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 21:00","2008","02","03","21:00","0.1","","-3.3","","78","","","","35","","4","","32.2","","101.38","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 22:00","2008","02","03","22:00","-0.2","","-3.0","","81","","","","9","","7","","32.2","","101.50","","","","-3","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-03 23:00","2008","02","03","23:00","-0.4","","-2.7","","84","","","","6","","6","","24.1","","101.59","","","","-2","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 00:00","2008","02","04","00:00","-0.5","","-3.0","","83","","","","","","0","","24.1","","101.63","","","","","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 01:00","2008","02","04","01:00","-0.9","","-3.0","","86","","","","8","","6","","24.1","","101.70","","","","-3","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 02:00","2008","02","04","02:00","-0.4","","-2.8","","84","","","","","","0","","24.1","","101.78","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 03:00","2008","02","04","03:00","-2.4","","-4.5","","85","","","","","","0","","24.1","","101.87","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 04:00","2008","02","04","04:00","-1.7","","-4.1","","84","","","","","","0","","24.1","","101.89","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 05:00","2008","02","04","05:00","-1.7","","-3.9","","85","","","","8","","6","","24.1","","101.95","","","","-4","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 06:00","2008","02","04","06:00","-1.4","","-3.7","","84","","","","","","0","","24.1","","102.08","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 07:00","2008","02","04","07:00","-2.2","","-4.0","","87","","","","9","","7","","24.1","","102.11","","","","-5","","Mostly Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 08:00","2008","02","04","08:00","-1.7","","-3.4","","88","","","","10","","11","","24.1","","102.14","","","","-6","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 09:00","2008","02","04","09:00","0.0","","-1.8","","88","","","","8","","11","","24.1","","102.20","","","","-4","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 10:00","2008","02","04","10:00","1.2","","-1.4","","83","","","","9","","9","","24.1","","102.25","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 11:00","2008","02","04","11:00","2.2","","-0.9","","80","","","","9","","11","","24.1","","102.31","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 12:00","2008","02","04","12:00","2.7","","-1.1","","76","","","","10","","4","","24.1","","102.31","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 13:00","2008","02","04","13:00","3.1","","-0.4","","78","","","","9","","7","","19.3","","102.29","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 14:00","2008","02","04","14:00","3.1","","0.5","","83","","","","12","","7","","16.1","","102.28","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 15:00","2008","02","04","15:00","2.2","","0.4","","88","","","","10","","9","","16.1","","102.29","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 16:00","2008","02","04","16:00","2.2","","0.7","","90","","","","10","","6","","16.1","","102.31","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 17:00","2008","02","04","17:00","1.9","","0.5","","90","","","","11","","9","","12.9","","102.34","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 18:00","2008","02","04","18:00","1.4","","0.0","","90","","","","10","","11","","12.9","","102.34","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 19:00","2008","02","04","19:00","1.5","","0.3","","92","","","","10","","13","","12.9","","102.37","","","","","","Cloudy"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 20:00","2008","02","04","20:00","1.7","","0.3","","90","","","","9","","13","","12.9","","102.37","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 21:00","2008","02","04","21:00","1.7","","0.3","","90","","","","8","","19","","12.9","","102.36","","","","","","Rain Showers"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 22:00","2008","02","04","22:00","1.9","","0.8","","92","","","","9","","17","","6.4","","102.37","","","","","","Rain Showers,Fog"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-04 23:00","2008","02","04","23:00","1.7","","0.4","","91","","","","8","","19","","4.8","","102.36","","","","","","Rain Showers,Fog"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 00:00","2008","02","05","00:00","1.3","","0.3","","93","","","","8","","17","","6.4","","102.32","","","","","","Rain,Fog"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 01:00","2008","02","05","01:00","1.5","","0.3","","92","","","","8","","17","","12.9","","102.24","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 02:00","2008","02","05","02:00","1.3","","0.1","","92","","","","8","","20","","12.9","","102.15","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 03:00","2008","02","05","03:00","1.4","","0.2","","92","","","","9","","20","","12.9","","102.05","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 04:00","2008","02","05","04:00","1.6","","0.4","","92","","","","10","","20","","12.9","","101.90","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 05:00","2008","02","05","05:00","1.7","","0.4","","91","","","","9","","24","","12.9","","101.77","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 06:00","2008","02","05","06:00","1.3","","0.1","","92","","","","9","","28","","4.8","","101.67","","","","","","Rain,Fog"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 07:00","2008","02","05","07:00","0.8","","-0.6","","90","","","","9","","26","","9.7","","101.52","","","","","","Rain,Snow"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 08:00","2008","02","05","08:00","1.3","","0.0","","91","","","","9","","35","","16.1","","101.29","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 09:00","2008","02","05","09:00","2.1","","0.8","","91","","","","9","","39","","12.9","","101.02","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 10:00","2008","02","05","10:00","3.7","","2.6","","93","","","","11","","32","","12.9","","100.94","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 11:00","2008","02","05","11:00","5.1","","3.6","","90","","","","15","","35","","12.9","","100.79","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 12:00","2008","02","05","12:00","5.6","","3.8","","88","","","","16","","37","","24.1","","100.72","","","","","","Rain"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 13:00","2008","02","05","13:00","6.9","","4.0","","82","","","","18","","30","","32.2","","100.68","","","","","","Mainly Clear"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2008-02-05 14:00","2008","02","05","14:00","6.9","","2.6","","74","","","","11","","37","","32.2","","100.59","","","","","","Mainly Clear"
