Date,Air Temperature (1.20m),Air Temperature (26.00m),Acoustic Temperature (Corrected) (28.80m),rural_epw_air_temp_c
7/1/2008 0:00,17.89,18.33,0,18
7/1/2008 0:30,18.66,18.9,0,18
7/1/2008 1:00,18.82,19.3,0,18
7/1/2008 1:30,19.03,19.34,0,18
7/1/2008 2:00,18.52,18.59,0,18
7/1/2008 2:30,17.7,17.65,0,17.5
7/1/2008 3:00,17.31,17.35,0,17
7/1/2008 3:30,17.05,17,0,17
7/1/2008 4:00,16.52,16.35,0,17
7/1/2008 4:30,16.06,15.97,0,16.3
7/1/2008 5:00,15.84,15.69,0,15.6
7/1/2008 5:30,15.92,15.77,0,15.3
7/1/2008 6:00,16.19,15.82,0,15
7/1/2008 6:30,16.03,15.31,0,15.5
7/1/2008 7:00,15.98,15.03,0,16
7/1/2008 7:30,16.64,15.1,0,16
7/1/2008 8:00,17.09,15.3,0,16
7/1/2008 8:30,17.39,15.39,0,16.5
7/1/2008 9:00,18.05,15.81,0,17
7/1/2008 9:30,19.34,16.51,0,17
7/1/2008 10:00,19.7,16.65,0,17
7/1/2008 10:30,19.79,16.79,0,17.7
7/1/2008 11:00,20.22,17,0,18.4
7/1/2008 11:30,20.74,17.37,0,19.2
7/1/2008 12:00,21.07,17.83,0,20
7/1/2008 12:30,22.12,18.1,0,20.5
7/1/2008 13:00,22.19,18.88,0,21
7/1/2008 13:30,22.62,19.19,0,21.5
7/1/2008 14:00,22.71,19.66,0,22
7/1/2008 14:30,23.32,19.55,0,22
7/1/2008 15:00,23.87,20.03,0,22
7/1/2008 15:30,24.01,20.84,0,22.5
7/1/2008 16:00,24.09,21.01,0,23
7/1/2008 16:30,23.29,20.47,0,22.95
7/1/2008 17:00,23.47,20.63,0,22.9
7/1/2008 17:30,23.55,20.62,0,22.45
7/1/2008 18:00,22.62,20.37,0,22
7/1/2008 18:30,23.11,20.15,0,22
7/1/2008 19:00,21.89,19.71,0,22
7/1/2008 19:30,20.43,19.38,0,21
7/1/2008 20:00,19.82,19.23,0,20
7/1/2008 20:30,19.14,18.72,0,19.5
7/1/2008 21:00,18.65,18.46,0,19
7/1/2008 21:30,18.61,18.58,0,18.5
7/1/2008 22:00,18.36,18.69,0,18
7/1/2008 22:30,18.07,17.96,0,17.8
7/1/2008 23:00,17.32,17.7,0,17.6
7/1/2008 23:30,17.31,18.41,0,17.3
7/2/2008 0:00,17.21,17.52,0,17
7/2/2008 0:30,16.81,17.4,0,17
7/2/2008 1:00,16.52,17.21,0,17
7/2/2008 1:30,16.29,16.88,0,16.5
7/2/2008 2:00,15.95,15.86,0,16
7/2/2008 2:30,15.32,15.36,0,16
7/2/2008 3:00,14.92,14.9,0,16
7/2/2008 3:30,14.49,14.55,0,15
7/2/2008 4:00,14.3,14.57,0,14
7/2/2008 4:30,14.32,14.84,0,14.25
7/2/2008 5:00,14.28,15.08,0,14.5
7/2/2008 5:30,15.15,15.99,0,14.25
7/2/2008 6:00,15.09,15.45,0,14
7/2/2008 6:30,15.61,15.9,0,15
7/2/2008 7:00,16.27,15.97,0,16
7/2/2008 7:30,17.74,16.68,0,16.5
7/2/2008 8:00,19.66,18.14,0,17
7/2/2008 8:30,21.13,19.21,0,18
7/2/2008 9:00,21.94,20.07,0,19
7/2/2008 9:30,22.96,20.83,0,19.5
7/2/2008 10:00,23.59,21.38,0,20
7/2/2008 10:30,23.75,21.61,0,20.4
7/2/2008 11:00,23.94,22.01,0,20.8
7/2/2008 11:30,25.76,22.92,0,20.9
7/2/2008 12:00,26.06,23.5,0,21
7/2/2008 12:30,26.53,23.79,0,21.5
7/2/2008 13:00,26.29,24.05,0,22
7/2/2008 13:30,27.1,24.41,0,22
7/2/2008 14:00,27.52,25.33,0,22
7/2/2008 14:30,28.57,25.21,0,22.5
7/2/2008 15:00,29.65,25.67,0,23
7/2/2008 15:30,29.19,26.01,0,23.5
7/2/2008 16:00,28.92,26.41,0,24
7/2/2008 16:30,27.11,26.06,0,23.35
7/2/2008 17:00,27.55,26.3,0,22.7
7/2/2008 17:30,26.36,25.1,0,21.85
7/2/2008 18:00,27.25,25.59,0,21
7/2/2008 18:30,27.04,25.5,0,21
7/2/2008 19:00,25.27,24.76,0,21
7/2/2008 19:30,23.42,23.05,0,21
7/2/2008 20:00,21.6,21.06,0,21
7/2/2008 20:30,20.93,20.75,0,20.5
7/2/2008 21:00,20.57,20.08,0,20
7/2/2008 21:30,19.24,18.79,0,20
7/2/2008 22:00,19.38,19.8,0,20
7/2/2008 22:30,20.18,20.51,0,20.28333333
7/2/2008 23:00,20.42,20.81,0,20.56666667
7/2/2008 23:30,20.75,21.18,0,20.78333333
7/3/2008 0:00,20.67,20.9,0,21
7/3/2008 0:30,19.4,19.4,0,20.5
7/3/2008 1:00,19.28,19.45,0,20
7/3/2008 1:30,19.52,19.83,0,20
7/3/2008 2:00,19.24,19.43,0,20
7/3/2008 2:30,18.77,19.66,0,19
7/3/2008 3:00,19.12,19.58,0,18
7/3/2008 3:30,16.54,16.61,0,17
7/3/2008 4:00,16.77,17.86,0,16
7/3/2008 4:30,17.27,17.64,0,16.525
7/3/2008 5:00,17.05,17.66,0,17.05
7/3/2008 5:30,18.01,18.64,0,17.025
7/3/2008 6:00,18.68,18.88,0,17
7/3/2008 6:30,18.93,19.26,0,17.5
7/3/2008 7:00,18.64,18.62,0,18
7/3/2008 7:30,18.21,17.49,0,18.25
7/3/2008 8:00,17.92,17.26,0,18.5
7/3/2008 8:30,17.26,16.61,0,18.25
7/3/2008 9:00,17.21,16.42,0,18
7/3/2008 9:30,17.45,16.26,0,18
7/3/2008 10:00,18.38,16.8,0,18
7/3/2008 10:30,18.51,16.73,0,18.2
7/3/2008 11:00,19.3,17.3,0,18.4
7/3/2008 11:30,19.53,17.72,0,19.2
7/3/2008 12:00,20.46,18.12,0,20
7/3/2008 12:30,20.43,18.49,0,20
7/3/2008 13:00,20.51,18.93,0,20
7/3/2008 13:30,20.88,18.84,0,20.5
7/3/2008 14:00,21.4,19.24,0,21
7/3/2008 14:30,22.84,20.34,0,21.5
7/3/2008 15:00,23.59,20.49,0,22
7/3/2008 15:30,23.6,20.62,0,22
7/3/2008 16:00,23.8,20.78,0,22
7/3/2008 16:30,22.84,20.32,0,21.6
7/3/2008 17:00,21.9,19.13,0,21.2
7/3/2008 17:30,21.1,18.68,0,20.6
7/3/2008 18:00,19.68,17.6,0,20
7/3/2008 18:30,18.67,16.97,0,19.5
7/3/2008 19:00,18.68,16.93,0,19
7/3/2008 19:30,17.88,16.67,0,18.5
7/3/2008 20:00,17.39,16.4,0,18
7/3/2008 20:30,16.85,16.1,0,17.5
7/3/2008 21:00,16.47,16.04,0,17
7/3/2008 21:30,16.57,16.17,0,16.5
7/3/2008 22:00,16.8,16.65,0,16
7/3/2008 22:30,17.43,17.23,0,16.3
7/3/2008 23:00,17.54,17.39,0,16.6
7/3/2008 23:30,17.58,17.37,0,16.8
7/4/2008 0:00,17.32,17.28,0,17
7/4/2008 0:30,17.18,17.23,0,18
7/4/2008 1:00,17.2,17.29,0,19
7/4/2008 1:30,17.14,17.24,0,18
7/4/2008 2:00,16.94,16.96,0,17
7/4/2008 2:30,16.51,16.59,0,16.5
7/4/2008 3:00,16.27,16.35,0,16
7/4/2008 3:30,15.59,15.5,0,15.5
7/4/2008 4:00,15.08,15.1,0,15
7/4/2008 4:30,15.12,15.06,0,14.95
7/4/2008 5:00,15.1,15.27,0,14.9
7/4/2008 5:30,15.15,15.2,0,14.95
7/4/2008 6:00,15.07,14.69,0,15
7/4/2008 6:30,15.16,14.57,0,15
7/4/2008 7:00,15.19,14.71,0,15
7/4/2008 7:30,15.06,14.44,0,15
7/4/2008 8:00,15.88,14.95,0,15
7/4/2008 8:30,15.53,15.01,0,15.5
7/4/2008 9:00,15.84,14.94,0,16
7/4/2008 9:30,16.51,15.5,0,16
7/4/2008 10:00,17.47,16.43,0,16
7/4/2008 10:30,18.24,16.7,0,16.55
7/4/2008 11:00,18.69,16.96,0,17.1
7/4/2008 11:30,19.6,17.42,0,18.05
7/4/2008 12:00,19.85,17.48,0,19
7/4/2008 12:30,18.59,16.86,0,19.5
7/4/2008 13:00,18.32,16.54,0,20
7/4/2008 13:30,18.61,17.02,0,20
7/4/2008 14:00,19.85,18,0,20
7/4/2008 14:30,20.75,18.73,0,20.5
7/4/2008 15:00,21.03,18.97,0,21
7/4/2008 15:30,22.57,19.9,0,21.5
7/4/2008 16:00,22.41,20.23,0,22
7/4/2008 16:30,22.66,20.33,0,22.25
7/4/2008 17:00,23.01,20.29,0,22.5
7/4/2008 17:30,22.57,20.3,0,22.25
7/4/2008 18:00,22.24,19.83,0,22
7/4/2008 18:30,20.9,19.65,0,21.5
7/4/2008 19:00,19.9,19.13,0,21
7/4/2008 19:30,19.59,19,0,20.5
7/4/2008 20:00,19.24,18.66,0,20
7/4/2008 20:30,18.74,18.38,0,19.5
7/4/2008 21:00,18.42,18.21,0,19
7/4/2008 21:30,18.3,18.08,0,18.5
7/4/2008 22:00,17.99,18.03,0,18
7/4/2008 22:30,17.39,18.1,0,17.55
7/4/2008 23:00,16.97,18.09,0,17.1
7/4/2008 23:30,17.03,17.65,0,17.05
7/5/2008 0:00,17.13,17.28,0,17
7/5/2008 0:30,17.21,17.24,0,17.5
7/5/2008 1:00,17.28,17.13,0,18
7/5/2008 1:30,17.25,17.19,0,17.5
7/5/2008 2:00,17.27,17.21,0,17
7/5/2008 2:30,17.08,17.39,0,17
7/5/2008 3:00,17.36,17.59,0,17
7/5/2008 3:30,17.5,17.54,0,17
7/5/2008 4:00,17.42,17.41,0,17
7/5/2008 4:30,17.34,17.36,0,17.375
7/5/2008 5:00,17.34,17.54,0,17.75
7/5/2008 5:30,17.38,17.47,0,17.375
7/5/2008 6:00,17.4,17.31,0,17
7/5/2008 6:30,17.31,17.17,0,17.33333333
7/5/2008 7:00,17.24,16.81,0,17.66666667
7/5/2008 7:30,16.99,16.17,0,17.83333333
7/5/2008 8:00,16.77,15.78,0,18
7/5/2008 8:30,16.86,15.96,0,17.75
7/5/2008 9:00,17.26,16.45,0,17.5
7/5/2008 9:30,17.56,16.87,0,17.5
7/5/2008 10:00,17.71,16.77,0,17.5
7/5/2008 10:30,17.74,17.04,0,17.65
7/5/2008 11:00,18.03,17.13,0,17.8
7/5/2008 11:30,18.11,17.19,0,17.9
7/5/2008 12:00,18.13,17.2,0,18
7/5/2008 12:30,17.67,17.36,0,18
7/5/2008 13:00,17.68,17.4,0,18
7/5/2008 13:30,18.23,17.29,0,18
7/5/2008 14:00,18.93,17.54,0,18
7/5/2008 14:30,18.55,17.67,0,18
7/5/2008 15:00,19.06,17.72,0,18
7/5/2008 15:30,19.84,17.86,0,18.5
7/5/2008 16:00,20.76,18.7,0,19
7/5/2008 16:30,20.6,18.8,0,20.15
7/5/2008 17:00,22.47,19.09,0,21.3
7/5/2008 17:30,22.55,19.43,0,21.65
7/5/2008 18:00,21.45,19.53,0,22
7/5/2008 18:30,20.19,19.45,0,21.5
7/5/2008 19:00,19.83,19.14,0,21
7/5/2008 19:30,19.24,18.9,0,20.5
7/5/2008 20:00,18.5,18.36,0,20
7/5/2008 20:30,17.82,17.69,0,19
7/5/2008 21:00,17.14,17.04,0,18
7/5/2008 21:30,16.75,16.6,0,17.5
7/5/2008 22:00,16.43,16.29,0,17
7/5/2008 22:30,16.22,16.16,0,16.95
7/5/2008 23:00,16.05,15.96,0,16.9
7/5/2008 23:30,15.91,15.8,0,16.45
