Time,CORE_BOTTOM:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:ALBUQUERQUE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:ALBUQUERQUE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:05:00,7.561117E+03,2.201872E+03,2.556882E-01,1.552058E-01,9.497539E+03,9.442101E+03,3.211706E-01,6.655580E-01,2.960201E+04,7.967214E+03,1.001027E+00,5.615955E-01,1.324543E+04,0.000000E+00,4.477017E-01,0.000000E+00,8.799257E+03,0.000000E+00,2.974135E-01,0.000000E+00,1.319794E+04,0.000000E+00,4.460967E-01,0.000000E+00,8.767597E+03,0.000000E+00,2.963435E-01,0.000000E+00,1.400748E+04,2.044108E+02,4.734581E-01,1.441863E-02,9.294230E+03,6.526719E+01,3.141428E-01,4.612572E-03,1.399283E+04,7.450886E+01,4.729632E-01,5.262955E-03,9.284413E+03,6.206390E+01,3.138110E-01,4.394844E-03,1.848757E+04,1.117010E+02,6.248800E-01,7.893902E-03,1.213684E+04,4.510633E+00,4.102178E-01,3.180703E-04,1.849395E+04,0.000000E+00,6.250957E-01,0.000000E+00,1.214313E+04,2.190765E+01,4.104307E-01,1.546443E-03
00:10:00,7.566023E+03,2.213275E+03,2.558541E-01,1.560096E-01,9.503383E+03,9.488044E+03,3.213682E-01,6.687961E-01,2.961303E+04,7.981103E+03,1.001400E+00,5.625743E-01,1.324616E+04,0.000000E+00,4.477266E-01,0.000000E+00,8.799722E+03,0.000000E+00,2.974292E-01,0.000000E+00,1.319867E+04,0.000000E+00,4.461215E-01,0.000000E+00,8.768061E+03,0.000000E+00,2.963592E-01,0.000000E+00,1.400883E+04,1.765623E+02,4.735040E-01,1.245864E-02,9.295093E+03,6.526719E+01,3.141719E-01,4.612572E-03,1.399419E+04,4.466750E+01,4.730091E-01,3.153178E-03,9.285276E+03,4.461915E+01,3.138402E-01,3.162800E-03,1.848973E+04,1.117010E+02,6.249531E-01,7.893902E-03,1.213818E+04,0.000000E+00,4.102633E-01,0.000000E+00,1.849609E+04,0.000000E+00,6.251680E-01,0.000000E+00,1.214448E+04,4.903649E+00,4.104761E-01,3.463944E-04
00:15:00,7.570890E+03,2.222723E+03,2.560186E-01,1.566756E-01,9.509210E+03,9.530564E+03,3.215652E-01,6.717930E-01,2.962392E+04,7.992529E+03,1.001768E+00,5.633794E-01,1.324690E+04,0.000000E+00,4.477513E-01,0.000000E+00,8.800185E+03,0.000000E+00,2.974449E-01,0.000000E+00,1.319940E+04,0.000000E+00,4.461461E-01,0.000000E+00,8.768521E+03,0.000000E+00,2.963747E-01,0.000000E+00,1.401019E+04,1.765623E+02,4.735498E-01,1.245864E-02,9.295953E+03,6.526719E+01,3.142010E-01,4.612572E-03,1.399554E+04,4.466750E+01,4.730548E-01,3.153178E-03,9.286136E+03,4.461915E+01,3.138692E-01,3.162800E-03,1.849186E+04,6.400983E+01,6.250252E-01,4.521478E-03,1.213951E+04,0.000000E+00,4.103082E-01,0.000000E+00,1.849820E+04,0.000000E+00,6.252394E-01,0.000000E+00,1.214581E+04,6.591085E+00,4.105210E-01,4.654424E-04
00:20:00,7.575718E+03,2.230421E+03,2.561819E-01,1.572182E-01,9.515019E+03,9.570004E+03,3.217617E-01,6.745727E-01,2.963468E+04,8.001758E+03,1.002132E+00,5.640297E-01,1.324762E+04,0.000000E+00,4.477758E-01,0.000000E+00,8.800644E+03,0.000000E+00,2.974604E-01,0.000000E+00,1.320012E+04,0.000000E+00,4.461706E-01,0.000000E+00,8.768979E+03,0.000000E+00,2.963902E-01,0.000000E+00,1.401154E+04,1.489876E+02,4.735953E-01,1.052415E-02,9.296810E+03,4.141903E+01,3.142300E-01,2.924693E-03,1.399689E+04,4.466750E+01,4.731004E-01,3.153178E-03,9.286992E+03,2.634755E+01,3.138982E-01,1.869576E-03,1.849397E+04,6.400983E+01,6.250964E-01,4.521478E-03,1.214082E+04,0.000000E+00,4.103525E-01,0.000000E+00,1.850029E+04,0.000000E+00,6.253100E-01,0.000000E+00,1.214712E+04,6.591085E+00,4.105654E-01,4.654424E-04
00:25:00,7.580507E+03,2.236551E+03,2.563438E-01,1.576502E-01,9.520811E+03,9.606665E+03,3.219575E-01,6.771565E-01,2.964532E+04,8.009129E+03,1.002492E+00,5.645490E-01,1.324834E+04,0.000000E+00,4.478002E-01,0.000000E+00,8.801100E+03,0.000000E+00,2.974758E-01,0.000000E+00,1.320084E+04,0.000000E+00,4.461949E-01,0.000000E+00,8.769433E+03,0.000000E+00,2.964056E-01,0.000000E+00,1.401288E+04,1.489876E+02,4.736407E-01,1.052415E-02,9.297663E+03,4.141903E+01,3.142588E-01,2.924693E-03,1.399823E+04,1.439439E+01,4.731458E-01,1.016455E-03,9.287845E+03,2.634755E+01,3.139270E-01,1.869576E-03,1.849605E+04,6.400983E+01,6.251668E-01,4.521478E-03,1.214212E+04,0.000000E+00,4.103963E-01,0.000000E+00,1.850235E+04,0.000000E+00,6.253796E-01,0.000000E+00,1.214842E+04,1.687436E+00,4.106092E-01,1.190480E-04
00:30:00,7.585258E+03,2.241284E+03,2.565045E-01,1.579838E-01,9.526585E+03,9.640917E+03,3.221528E-01,6.795705E-01,2.965583E+04,8.014717E+03,1.002847E+00,5.649427E-01,1.324906E+04,0.000000E+00,4.478245E-01,0.000000E+00,8.801554E+03,0.000000E+00,2.974911E-01,0.000000E+00,1.320156E+04,0.000000E+00,4.462190E-01,0.000000E+00,8.769885E+03,0.000000E+00,2.964208E-01,0.000000E+00,1.401422E+04,1.211499E+02,4.736860E-01,8.569501E-03,9.298514E+03,4.141903E+01,3.142876E-01,2.924693E-03,1.399957E+04,1.439439E+01,4.731910E-01,1.016455E-03,9.288696E+03,1.047633E+01,3.139557E-01,7.443257E-04,1.849811E+04,1.790707E+01,6.252363E-01,1.263019E-03,1.214340E+04,0.000000E+00,4.104396E-01,0.000000E+00,1.850438E+04,0.000000E+00,6.254484E-01,0.000000E+00,1.214970E+04,1.687436E+00,4.106525E-01,1.190480E-04
00:35:00,7.590190E+03,2.262740E+03,2.566713E-01,1.594962E-01,9.533030E+03,9.691415E+03,3.223707E-01,6.831297E-01,2.966959E+04,8.037500E+03,1.003312E+00,5.665484E-01,1.324983E+04,0.000000E+00,4.478505E-01,0.000000E+00,8.802041E+03,0.000000E+00,2.975076E-01,0.000000E+00,1.320233E+04,0.000000E+00,4.462451E-01,0.000000E+00,8.770373E+03,0.000000E+00,2.964373E-01,0.000000E+00,1.401571E+04,1.211499E+02,4.737364E-01,8.569501E-03,9.299462E+03,2.142472E+01,3.143196E-01,1.513721E-03,1.400106E+04,1.439439E+01,4.732415E-01,1.016455E-03,9.289644E+03,4.869275E+01,3.139878E-01,3.440060E-03,1.850086E+04,4.193276E+01,6.253292E-01,2.956655E-03,1.214512E+04,0.000000E+00,4.104978E-01,0.000000E+00,1.850711E+04,0.000000E+00,6.255407E-01,0.000000E+00,1.215142E+04,1.687436E+00,4.107106E-01,1.190480E-04
00:40:00,7.595084E+03,2.282960E+03,2.568368E-01,1.609216E-01,9.539454E+03,9.739982E+03,3.225879E-01,6.865532E-01,2.968321E+04,8.058838E+03,1.003773E+00,5.680525E-01,1.325060E+04,0.000000E+00,4.478764E-01,0.000000E+00,8.802526E+03,0.000000E+00,2.975240E-01,0.000000E+00,1.320309E+04,0.000000E+00,4.462709E-01,0.000000E+00,8.770857E+03,0.000000E+00,2.964537E-01,0.000000E+00,1.401720E+04,9.701693E+01,4.737867E-01,6.870018E-03,9.300407E+03,2.142472E+01,3.143515E-01,1.513721E-03,1.400255E+04,8.111323E-01,4.732917E-01,5.738777E-05,9.290588E+03,4.082592E+01,3.140197E-01,2.881301E-03,1.850358E+04,4.193276E+01,6.254211E-01,2.956655E-03,1.214682E+04,0.000000E+00,4.105553E-01,0.000000E+00,1.850982E+04,0.000000E+00,6.256321E-01,0.000000E+00,1.215312E+04,1.687436E+00,4.107682E-01,1.190480E-04
00:45:00,7.599939E+03,2.302422E+03,2.570010E-01,1.622934E-01,9.545857E+03,9.787183E+03,3.228045E-01,6.898799E-01,2.969671E+04,8.079188E+03,1.004229E+00,5.694867E-01,1.325136E+04,0.000000E+00,4.479021E-01,0.000000E+00,8.803007E+03,0.000000E+00,2.975403E-01,0.000000E+00,1.320386E+04,0.000000E+00,4.462967E-01,0.000000E+00,8.771339E+03,0.000000E+00,2.964700E-01,0.000000E+00,1.401868E+04,9.701693E+01,4.738367E-01,6.870018E-03,9.301348E+03,2.142472E+01,3.143833E-01,1.513721E-03,1.400403E+04,1.463067E+01,4.733418E-01,1.032143E-03,9.291529E+03,4.082592E+01,3.140515E-01,2.881301E-03,1.850627E+04,2.402569E+01,6.255122E-01,1.693637E-03,1.214851E+04,0.000000E+00,4.106123E-01,0.000000E+00,1.851249E+04,0.000000E+00,6.257225E-01,0.000000E+00,1.215481E+04,0.000000E+00,4.108252E-01,0.000000E+00
00:50:00,7.604758E+03,2.321032E+03,2.571639E-01,1.636052E-01,9.552239E+03,9.832839E+03,3.230203E-01,6.930978E-01,2.971008E+04,8.098307E+03,1.004682E+00,5.708342E-01,1.325211E+04,0.000000E+00,4.479277E-01,0.000000E+00,8.803486E+03,0.000000E+00,2.975564E-01,0.000000E+00,1.320461E+04,0.000000E+00,4.463222E-01,0.000000E+00,8.771818E+03,0.000000E+00,2.964861E-01,0.000000E+00,1.402015E+04,7.203118E+01,4.738866E-01,5.106347E-03,9.302285E+03,6.654130E+00,3.144150E-01,4.723317E-04,1.400551E+04,1.463067E+01,4.733917E-01,1.032143E-03,9.292467E+03,6.536754E+01,3.140832E-01,4.614569E-03,1.850894E+04,2.402569E+01,6.256024E-01,1.693637E-03,1.215018E+04,0.000000E+00,4.106688E-01,0.000000E+00,1.851515E+04,0.000000E+00,6.258121E-01,0.000000E+00,1.215648E+04,0.000000E+00,4.108816E-01,0.000000E+00
